,Song,clusters
1496,Raspberry Beret,0
1497,Your Love,0
1498,Another Day - 2012 Remaster,11
1499,My Boo - Hitman's Club Mix,0
1500,Young At Heart,6
1501,Come On Get Happy - The Partridge Family Theme,2
1502,Quit Playing Games (With My Heart),2
1503,"Give It Up, Turn It Loose",0
1504,I Go to Extremes,13
1505,Play,0
1506,Roll Up,19
1507,One,12
1508,It's Only Make Believe,1
1509,Love You Down,2
1510,(Your Love Keeps Lifting Me) Higher & Higher,11
1511,Trouble,10
1512,White Iverson,9
1513,Make A Move On Me - Remastered 2021,7
1514,Thinking of You,7
1515,When a Man Loves a Woman,0
1516,Love Like This (feat. Sean Kingston),19
1517,Stray Cat Strut,10
1518,Lay Down Sally,18
1519,I Still Believe,17
1520,Games People Play,10
1521,pov,7
1522,Splash Waterfalls,8
1523,Smoke from a Distant Fire,11
1524,Get Dancin',10
1525,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",7
1526,Sweet Pea,17
1527,4 Seasons Of Loneliness,0
1528,Barbara Ann,1
1529,Last Song,11
1530,Better Now,19
1531,My Happiness,7
1532,Want U Back,9
1533,My Chick Bad,8
1534,Worth It,9
1535,Sea Of Love,17
1536,Could’ve Been,19
1537,Dress You Up,7
1538,Don't Fall in Love with a Dreamer (Originally Performed by Kenny Rogers and Kim Carnes) [Karaoke Version],5
1539,Jack and Jill,11
1540,Bad Boy,12
1541,Looking Through Patient Eyes,0
1542,"I Want You, I Need You, I Love You",11
1543,Shine,0
1544,Burn,4
1545,BURN IT DOWN,19
1546,Eve Of Destruction,10
1547,Cupid's Chokehold / Breakfast in America,19
1548,Streets of London,10
1549,Just Like Paradise,0
1550,I Luv Your Girl,8
1551,I Was Made for Dancin',7
1552,So What,8
1553,Find Your Love,17
1554,"Hold On, We're Going Home",8
1555,Tell Me Why,7
1556,Blame It on the Rain,5
1557,Don't Stand so Close to Me (In the Style of The Police) [Karaoke Version],9
1558,Southern Hospitality (Featuring Pharrell),8
1559,Don't Cha,8
1560,Young Dumb & Broke,19
1561,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,1
1562,Clumsy,12
1563,Starting Over,9
1564,Honey Bee,5
1565,Just Like A Pill (Karaoke in the style of Pink),15
1566,"Julie, Do Ya Love Me",10
1567,Sixteen Reasons,19
1568,Can't Believe It (feat. Lil' Wayne),13
1569,Can’t You Hear My Heartbeat,15
1570,Her Diamonds,19
1571,What’s Your Country Song,19
1572,Wake up In the Sky,8
1573,Sound Off,6
1574,Die Young,7
1575,Jump,0
1576,Having a Party,11
1577,Oh My God,7
1578,Crying Time,9
1579,Die From A Broken Heart,5
1580,Ball Of Confusion (That's What The World Is Today) - Single Version/Mono,17
1581,I Want You,17
1582,Two Steps Behind - String / Acoustic Version,12
1583,Keep Your Hands to Yourself,12
1584,Falling - 2013 Japan Remaster,6
1585,When You're Mad,8
1586,It Feels So Good,7
1587,Let's Dance - 2018 Remaster,11
1588,Blame It,13
1589,Don’t Dream It’s Over - Home Demo,17
1590,You Don't Bring Me Flowers (In the Style of Neil Diamond and Barbra Streisand) [Karaoke Version],5
1591,Walking To New Orleans,6
1592,The Stripper,17
1593,All By Myself,2
1594,You Used to Love Me,17
1595,Pleasant Valley Sunday - 2007 Remaster,18
1596,Scream,13
1597,Party Rock Anthem,17
1598,Notorious - 2010 Remaster,13
1599,It Ends Tonight,17
1600,Chandelier,5
1601,Broken Hearted Me,8
1602,Billionaire (feat. Bruno Mars),5
1603,a lot,7
1604,Spies Like Us - 2022 Remaster,9
1605,It's Time,9
1606,Here Comes The Sun,11
1607,Adore You,9
1608,It Keeps Right on A-Hurtin',11
1609,Uptown,11
1610,Shotta Flow (feat. Blueface) [Remix],7
1611,For The Night (feat. Lil Baby & DaBaby),9
1612,Trip,9
1613,Cry,10
1614,Ode To Billie Joe,16
1615,Battle Hymn of the Republic,10
1616,Heartaches - Remastered,7
1617,We Can Work It Out - Remastered 2015,12
1618,Seasons Change,2
1619,Stuck with U - Karaoke Version originally performed by Ariana Grande & Justin Bieber,19
1620,Crocodile Rock,0
1621,Bailando - Spanish Version,17
1622,3 A.M. Eternal - Originally Performed By The KLF,5
1623,Super Bass,7
1624,Money (That's What I Want),19
1625,Calendar Girl,11
1626,What Does It Take (To Win Your Love),16
1627,Young Emotions - Remastered,10
1628,Live Your Life,13
1629,No One,9
1630,"Puff, the Magic Dragon",18
1631,Nobody but You,9
1632,Just Take My Heart - 2021 Remastered,2
1633,Piece of Me,7
1634,Sky Walker (feat. Travis Scott),9
1635,Single Ladies (Put a Ring on It),9
1636,Payphone,8
1637,Him & I (with Halsey),9
1638,I'll Remember (Originally Performed by Madonna) [Karaoke Version],5
1639,Because Of Love,0
1640,Shoulder Lean (feat. T.I.),4
1641,Motorcycle Mama,10
1642,Won’t Get Fooled Again - Live,9
1643,Confessions Part II,4
1644,One Hundred Ways,0
1645,It Never Rains in Southern California,11
1646,What A Diff'rence A Day Made,11
1647,Karaoke - Wishing Well,15
1648,True Blue,0
1649,Killer Queen - Remastered 2011,6
1650,Runaround Sue,11
1651,Freek-A-Leek,2
1652,If You Leave Me Now,18
1653,Walked Outta Heaven,12
1654,Don't Talk to Strangers,4
1655,Love Is A Hurtin' Thing,17
1656,He Don't Love You (Like I Love You),11
1657,I'd Do Anything For Love (But I Won't Do That) - Single Edit,2
1658,One Moment in Time,9
1659,Blowin' in the Wind,1
1660,Be-Bop Baby - Remastered,6
1661,P*$$Y Fairy (OTW),5
1662,Rapture,17
1663,That's That Shit,8
1664,NO,5
1665,My Love,0
1666,Loser,17
1667,My Happy Ending,2
1668,Life Is A Highway,12
1669,Let's Get Married (feat. Run) - ReMarqable Remix,7
1670,"Help Me, Rhonda - Single Version/Remastered 2001",18
1671,Trying To Hold On To My Woman,10
1672,The Hills,7
1673,Suicidal (Remix) [feat. Juice WRLD],5
1674,Easy On Me,9
1675,American Pie,18
1676,Real Good Man,5
1677,You Gotta Be (Originally Performed by Des'ree) [Karaoke Version] - 1995,19
1678,Never Be Anyone Else But You - Remastered,10
1679,The Glamorous Life,11
1680,On Top Of Old Smoky,17
1681,Funkytown - Single Version,17
1682,Like a Rolling Stone,16
1683,We've Got Tonight,19
1684,She Believes In Me,16
1685,Dance the Night Away - 2015 Remaster,0
1686,In the Chapel in the Moonlight,19
1687,You're Only Lonely,11
1688,Somethin' Stupid,6
1689,Laughing on the Outside (Crying on the Inside),2
1690,Romeo's Tune,6
1691,I Still Believe,13
1692,Somebody's Watching Me,17
1693,A Little Bitty Tear - Single Version,17
1694,"Promises, Promises - US Single Version",10
1695,Indian Lake,10
1696,If I Can't Have You,19
1697,Rock & Roll Must Go (It's in the Book),19
1698,My Happiness (feat. Fiona Prine),7
1699,"Bad Case Of Loving You (Doctor, Doctor)",18
1700,High Enough,12
1701,St. Elmos Fire (Man in Motion),17
1702,Wait,12
1703,Close,5
1704,All I Have to Give,12
1705,Do You Know (What It Takes),12
1706,Please Please Me - Remastered 2009,11
1707,Last Night Lonely,9
1708,Savage,5
1709,Boogie Nights,16
1710,Rain On Me,8
1711,Not a Bad Thing,7
1712,Come Sail Away,1
1713,Do Your Thing,10
1714,Berzerk,9
1715,A Teenager's Romance,17
1716,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",5
1717,Falling,19
1718,Chained To The Rhythm,5
1719,Black Beatles,13
1720,Batdance,0
1721,Sugar Walls,1
1722,Elvira,10
1723,Starving,5
1724,What's My Name?,8
1725,Heaven Knows,16
1726,Love You So,5
1727,Put Your Head On My Shoulder,12
1728,Classic Man (feat. Roman GianArthur),17
1729,He'll Have to Go,11
1730,Apache,7
1731,Outta My System (feat. T-Pain & Johntá Austin),13
1732,Wonderland By Night (Wunderland bei Nacht),10
1733,Rockstar,5
1734,Lady - Remastered 2022,1
1735,Cryin',17
1736,Red Dirt Road,2
1737,The Lady In Red,17
1738,Everybody's Somebody's Fool,2
1739,Tusk - 2015 Remaster,18
1740,Dang Me,2
1741,"Oh, Babe What Would You Say",9
1742,My Baby Loves Lovin',19
1743,Shackles (Praise You),2
1744,Treat Her Like A Lady,17
1745,Let It Rock,8
1746,Under the Bridge,16
1747,Golden Earrings,17
1748,When I Need You - Remastered,16
1749,Your Body's Callin',12
1750,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),4
1751,The Shoop Shoop Song (It's In His Kiss),17
1752,Angel Eyes - Album Edit,7
1753,The Humpty Dance,0
1754,Express,11
1755,Bitch,17
1756,See You in September,11
1757,The Joker,1
1758,The Big Hurt,11
1759,Say It,7
1760,Along Came Jones - 2007 Remaster; Remastered,9
1761,Everything I Own,6
1762,The Rain The Park And Other Things,10
1763,Should I Do It,18
1764,The London (feat. J. Cole & Travis Scott),4
1765,Lovin' You,6
1766,I Ran (So Far Away) - Single Edit,5
1767,Music Box Dancer,10
1768,The Finer Things,8
1769,I Feel the Earth Move,18
1770,One Mint Julep,10
1771,Again,17
1772,Woman - Remastered 2010,16
1773,Don't Go Breaking My Heart (Karaoke in the style of Elton John & Kiki Dee),7
1774,"The Loveliest Night of the Year (From ""The Great Caruso"")",7
1775,Always in My Heart,2
1776,H.O.L.Y.,7
1777,Doo Wop (That Thing),7
1778,The Twist,19
1779,Hey Lover,13
1780,It Was Almost Like A Song,6
1781,Semi-Charmed Life,2
1782,I Love,12
1783,Stronger,9
1784,Devil Or Angel,10
1785,I Don't Dance,9
1786,1 Thing,8
1787,Youngblood,5
1788,Best of You,2
1789,On a Slow Boat to China,2
1790,Wedding Song (There Is Love),10
1791,Circles,9
1792,Mad,8
1793,Please Mr. Please,11
1794,The Search Is Over,10
1795,Make 'Em Say Ugh,2
1796,A Little Bird Told Me,17
1797,White Walls (feat. ScHoolboy Q & Hollis),9
1798,Mood (feat. iann dior),19
1799,"Sit Still, Look Pretty",9
1800,"I Wonder, I Wonder, I Wonder",17
1801,4 Seasons Of Loneliness,0
1802,Counting Stars,17
1803,Carrie,2
1804,Mad About You,0
1805,Rub You The Right Way,17
1806,In My Little Corner of the World,5
1807,Hotline Bling,5
1808,You Don't Know What You've Got (Until You Lose It),7
1809,Born Free,10
1810,Theme from The Rockford Files (feat. Larry Carlton),17
1811,Stutter (feat. Mystikal) - Double Take Remix,4
1812,Thank You,2
1813,Tears - Tommy Dee Remix,9
1814,I Saw the Light,18
1815,Misled,17
1816,Sweet And Innocent,6
1817,This Guy's In Love With You,10
1818,Treat You Better,19
1819,I Love You,12
1820,Personality,10
1821,Where Them Girls At (feat. Nicki Minaj & Flo Rida),4
1822,Runaway,10
1823,Words Get In the Way,12
1824,My Heart Has A Mind Of Its Own,2
1825,Superstition - Single Version,7
1826,Plain Jane REMIX (feat. Nicki Minaj),13
1827,Circles,9
1828,Days Go By,2
1829,Best Friend (feat. Doja Cat),19
1830,I Never Cry,1
1831,96 Tears,11
1832,With These Hands,9
1833,Inside Your Heaven (Bonus Track),12
1834,Tell It Like It Is,17
1835,"FourFiveSeconds - Tribute to Rihanna, Kanye West and Paul McCartney",5
1836,Little Woman,5
1837,My Boo - In the Style of Usher & Alicia Keys (Karaoke Version Teaching Vocal),17
1838,Where Do You Go,12
1839,No Letting Go,17
1840,Major Tom (Coming Home),2
1841,Naughty Girls (Need Love Too),0
1842,I'm Upset (Karaoke Version Originally performed by Drake),9
1843,Otherside,2
1844,Baby Workout,11
1845,"Bust It Baby, Pt. 2 (feat. Ne-Yo)",13
1846,Let's Do It Again,6
1847,100 Years,17
1848,Say Something (feat. Chris Stapleton),17
1849,(Keep Feeling) Fascination - Remastered,17
1850,Jet Airliner,1
1851,You Do,6
1852,Like A G6,17
1853,Sk8er Boi,2
1854,Make It with You,11
1855,Jingle Bell Rock,6
1856,Return of the Mack,0
1857,Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),13
1858,Suspicious Minds,11
1859,Industry Baby - Karaoke Version Originally Performed by Lil Nas X & Jack Harlow,7
1860,"Baby, It's Cold Outside",2
1861,I Will Always Love You,12
1862,Love Will Keep Us Together,10
1863,Watch Me (Whip / Nae Nae),5
1864,Let Her In,10
1865,Separate Ways (Worlds Apart),4
1866,White Flag,12
1867,It's Not Over,5
1868,Wind Beneath My Wings,0
1869,Patches,5
1870,Do That To Me One More Time,10
1871,Stand By Me - Single Version,11
1872,Hollaback Girl,7
1873,Holiday,16
1874,Flyin' Saucers Rock & Roll,10
1875,Green Tambourine,11
1876,Get the Party Started (Originally Performed by Pink) [Karaoke Version],5
1877,Love Her Madly,11
1878,Hot N Cold,5
1879,We Belong,1
1880,Go All The Way,11
1881,You Must Love Me,7
1882,Johnny Get Angry,10
1883,Last Train to Clarksville - Original Stereo Version; 2006 Remaster,18
1884,"I Can Dream, Can't I? - 1949 Single Version",17
1885,Bring Em Out,7
1886,Beyond the Sea,10
1887,Fame - 2016 Remaster,10
1888,Do You Believe In Love,1
1889,Two Princes,7
1890,Patience,15
1891,Bits and Pieces - 2019 - Remaster,6
1892,A Rose Is Still a Rose,2
1893,Changing Partners,6
1894,Time Has Come Today,12
1895,(Oh Baby Mine) I Get so Lonely,11
1896,Rock the Boat 4Love,9
1897,Party (feat. André 3000),19
1898,California Love - Original Version,8
1899,Cyclone (feat. T-Pain) - Main,4
1900,Popcorn,5
1901,Baby Scratch My Back - Single Version,7
1902,Bad Day,19
1903,I Have Nothing,12
1904,Wannabe,17
1905,Don't Give up on Us (Originally Performed by David Soul) [Karaoke Version],9
1906,The Most Beautiful Girl,10
1907,Everytime We Touch,5
1908,Silent Running,18
1909,I Know What You Did Last Summer (tribute to Shawn Mendes & Camila Cabello),17
1910,Something About The Way You Look Tonight - Edit Version,17
1911,With Or Without You,17
1912,Breakin'...There's No Stopping Us,10
1913,Maybe Your Baby,16
1914,I Get Around,0
1915,Moody River - Single Version,17
1916,Both (feat. Drake),13
1917,To Know Him is to Love Him,10
1918,My Hitta,8
1919,Blinding Lights,19
1920,Lose Yourself,9
1921,Baby Don't Go,18
1922,Light My Fire,9
1923,Two Out of Three Ain't Bad,16
1924,Heaven,0
1925,Jailhouse Rock,2
1926,A Fifth Of Beethoven,16
1927,Up on the Roof,6
1928,Sugar,9
1929,Hello It's Me,1
1930,Cherish - Single Version,19
1931,Gangsta Lovin',8
1932,Step By Step,6
1933,Wheel Of Fortune,6
1934,So Very Hard to Go,10
1935,Every Breath You Take,11
1936,Two Is Better Than One (feat. Taylor Swift),9
1937,Right Back Where We Started From,7
1938,It Will Rain,9
1939,Can't We Try,12
1940,Glad You Came,17
1941,Back To You - From 13 Reasons Why – Season 2 Soundtrack,5
1942,That's the Way of the World,11
1943,I'm Gonna Knock on Your Door,19
1944,Thunder Island,10
1945,Love Takes Time,2
1946,At Your Best (You Are Love),0
1947,Brokenhearted (feat. Wanya Morris) - Single Version,8
1948,Dizzy,17
1949,S&M,8
1950,Easy Lover,5
1951,Cruel Summer,0
1952,La Tortura (feat. Alejandro Sanz),2
1953,Good Days,7
1954,Red River Rock,10
1955,Party Rock Anthem,17
1956,Everything She Wants,16
1957,Here We Are,2
1958,What Would You Do?,17
1959,34+35,7
1960,Fall In Love,5
1961,In Your Room,13
1962,Sweeter Than You - Remastered / Alternate Version,10
1963,Allegheny Moon,6
1964,Lean On,7
1965,She Will Be Loved - Radio Mix,2
1966,She Works Hard For The Money,10
1967,I've Told Every Little Star (Originally Performed by Linda Scott) [Karaoke Version],9
1968,Escapade,16
1969,Lemon - Edit,9
1970,Pretty Wings - uncut,2
1971,Butta Love,7
1972,"You, You, You",16
1973,Whatcha Say,19
1974,Whip Appeal,2
1975,This Little Girl,9
1976,Feel Me Flow,2
1977,Waterfalls,13
1978,Shake It Off,7
1979,London Bridge,12
1980,Heaven Must Be Missing An Angel - Pt. 1,17
1981,Blue Moon - 45 Version,11
1982,"Tonight, Tonight, Tonight - 2007 Remaster",18
1983,Stand Up and Shout About Love,10
1984,Bleeding Love,5
1985,The End of the World,0
1986,Drunk in Love (feat. Jay-Z),7
1987,POPSTAR (feat. Drake),5
1988,What Do You Mean?,19
1989,A Big Hunk O' Love,9
1990,Rockstar,5
1991,Sunshine,17
1992,Home,17
1993,Closer,8
1994,R.O.C.K. In The U.S.A. (A Salute To 60's Rock),13
1995,Mandolin Rain,18
1996,Sugartime,17
1997,Diggin' On You,13
1998,Did You Ever Have to Make up Your Mind?,15
1999,Stuck on You,6
2000,Get a Job,12
2001,Always,12
2002,THATS WHAT I WANT,9
2003,Ballerina Girl,12
2004,"The Ballad of Davy Crockett (From ""Davy Crockett"")",7
2005,All Right,0
2006,Tootsee Roll (Dance Version),0
2007,The Way You Love Me,12
2008,Little Star,7
2009,Good Time,9
2010,Blue Velvet,11
2011,Chains,7
2012,It's Your Thing,16
2013,Dead Giveaway,1
2014,Cry Baby (feat. DaBaby),7
2015,Love Me Do - Remastered 2009,11
2016,Little Darlin',7
2017,Handy Man,18
2018,The Mighty Quinn,17
2019,Fooled Around And Fell In Love,10
2020,Love Yourself,9
2021,Cheap Thrills,7
2022,Sexy And I Know It,17
2023,Drive By,5
2024,Monster Mash,10
2025,Bless You,19
2026,Now That We Found Love,17
2027,Break Free,7
2028,Happy Together,10
2029,La La La,17
2030,Without You (feat. Usher),4
2031,Missing You,18
2032,Pillow Talk,7
2033,Hotline Bling,5
2034,Who I Am,0
2035,Ivory Tower,17
2036,Behind Closed Doors,11
2037,Shake,2
2038,Do It To It,8
2039,Dior,19
2040,We’re Good,19
2041,"Be My Love (From ""The Toast of New Orleans"")",7
2042,Don't Wanna Be a Player (In the Style of Joe) [Karaoke Version],5
2043,Heaven,2
2044,Tennessee Waltz,6
2045,Little Willy,5
2046,"Hold Me, Thrill Me, Kiss Me",17
2047,Because Of You,17
2048,The Sweetest Thing (I've Ever Known),10
2049,(Your Love Has Lifted Me) Higher And Higher,10
2050,All About That Bass,5
2051,positions,7
2052,Rico Suave,17
2053,A Groovy Kind of Love,12
2054,Too Many Rivers,17
2055,Wild Wild West (feat. Dru Hill & Kool Mo Dee) - Album Version With Intro,13
2056,Together Again,12
2057,Halo,7
2058,Scars,17
2059,Livin' It Up,13
2060,It's A Shame,11
2061,The Happy Organ,9
2062,It Isn't Fair,7
2063,"The Heat Is On - From ""Beverly Hills Cop"" Soundtrack",4
2064,Someone To Call My Lover,17
2065,Let It Rock,8
2066,Feel It Still,5
2067,Love Somebody,10
2068,Got Me Waiting,0
2069,Short Dick Man - Original,9
2070,I Guess That's Why They Call It The Blues,0
2071,Smooth (feat. Rob Thomas),2
2072,Sweet Dreams - Radio Version,0
2073,Never Ending Song of Love,10
2074,Uma Thurman,19
2075,Only,13
2076,Up Around The Bend,16
2077,Maybe It's Because,17
2078,Don't Be Cruel,17
2079,Hollywood Nights,1
2080,Soul Deep,16
2081,Love Is the Answer,10
2082,Union of the Snake - 2010 Remaster,13
2083,Together Forever,12
2084,Walk Away,0
2085,In The Dark,17
2086,Get Up and Boogie - That's Right,7
2087,You Got It (The Right Stuff),12
2088,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,13
2089,Sunshine (Go Away Today),10
2090,Give It To Me,8
2091,Run Away,0
2092,"Bailamos - From ""Wild Wild West""",17
2093,The Yellow Rose of Texas - Single Version,10
2094,"Would I Love You, Love You, Love You",7
2095,I Still Haven't Found What I'm Looking For,17
2096,Better,7
2097,Sign Your Name (Karaoke in the style of Terence Trent d'Arby),15
2098,Kansas City,11
2099,The World Is Waiting For The Sunrise,10
2100,Reach Out Of The Darkness,10
2101,Go Now,13
2102,Strange Way,11
2103,A Swingin' Safari,10
2104,Bump n' Grind,12
2105,Stranger in Paradise,17
2106,Sylvia's Mother,11
2107,Owner of a Lonely Heart,1
2108,Love's Theme,0
2109,One More Night,17
2110,Touch Me,16
2111,"Shout, Pt. 1",7
2112,Seasons in the Sun,10
2113,No Diggity,13
2114,Show Me the Meaning of Being Lonely,0
2115,"Get Outta My Dreams, Get Into My Car",4
2116,Transfusion,17
2117,Atlantis,18
2118,I Apologize,17
2119,Clair,15
2120,Mo Bamba,9
2121,Disco Inferno,17
2122,You Make My Dreams (Come True),18
2123,The Other Side,9
2124,Mesmerize,8
2125,Carrie-Anne,18
2126,Centuries,19
2127,Empty Garden (Hey Hey Johnny) - Remastered 2003,10
2128,"Jesus, Take the Wheel",12
2129,Doggin' Around,11
2130,Bewitched,16
2131,I Like It,19
2132,Barely Breathing,2
2133,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",4
2134,Wanted (with Henri René & His Orchestra and Chorus),7
2135,Blue Eyes - Remastered 2003,10
2136,Breakdance - Radio Edit,6
2137,Ebony Eyes,10
2138,I Need You Now - 2001 Remastered,2
2139,You Remind Me of Something,12
2140,U Don't Know Me,7
2141,We'll Sing in the Sunshine (Originally Performed by Gale Garnett) [Karaoke Version],9
2142,I Love Music,15
2143,Don't Shed a Tear (In the Style of Paul Carrack) [Karaoke Version],5
2144,Sioux City Sue - 1946 Single Version / With 1954 Spoken Introduction,6
2145,Butterflies,7
2146,Hello Again,18
2147,Closer,7
2148,Allentown,4
2149,Crying In The Chapel,2
2150,What's Forever For?,11
2151,Blown Away,8
2152,Panini,9
2153,No Lie,8
2154,Too Fat To Fly,5
2155,Sunshine Of Your Love,18
2156,Little Jeannie,11
2157,You Belong To Me,17
2158,Every Little Thing I Do,2
2159,Dirty Laundry,18
2160,Na Na,8
2161,The Whiffenpoof Song,17
2162,"Twist, Twist Senora",17
2163,Small Town Boy,9
2164,I'll Be Missing You (feat. 112),8
2165,Love Letters In The Sand - Single Version,17
2166,Play It Again,17
2167,Since I Don't Have You (Alternative Take),16
2168,Papa Don't Preach,0
2169,Walk This Way,1
2170,My Last,8
2171,Rock And Roll Music - Remastered 2012,8
2172,changes,5
2173,From a Distance,2
2174,Count on Me,1
2175,Da Doo Ron Ron,11
2176,Don't Wanna Go Home (Originally Performed By Jason Derulo),7
2177,Lady,1
2178,Mysterious Ways,12
2179,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",7
2180,I Love The Way You Love,6
2181,Travelin' Man - Remastered,10
2182,1-800-273-8255,8
2183,C’est la vie,2
2184,Demons,9
2185,On the Way Down,2
2186,Incomplete,8
2187,Fire,17
2188,When a Man Loves a Woman,10
2189,Yummy,19
2190,Natural High - Single Version,8
2191,Smells Like Teen Spirit,7
2192,P.I.M.P.,8
2193,Sincerely,17
2194,Girls Night Out (with Doechii),7
2195,(Theme From) Valley of the Dolls,10
2196,Sowing The Seeds Of Love,16
2197,Blueberry Faygo,5
2198,Do You Want Me,17
2199,Turn My Swag On,8
2200,Last Friday Night (T.G.I.F.),17
2201,Stop! In The Name Of Love,16
2202,Breakaway,0
2203,Gangsta's Paradise,12
2204,Circles Around This Town,5
2205,Who Will Save Your Soul,0
2206,Lonely Weekends - Remastered 2022,6
2207,Sorry 2004,7
2208,Hold On Tight,18
2209,Our House,10
2210,Apologize,17
2211,Baby Hold On (2022 Remaster),18
2212,Legs - 2008 Remaster,0
2213,A Blossom Fell,17
2214,Cats In The Cradle,17
2215,Locked out of Heaven,9
2216,Misty - 1975 #3Country; #14Pop Billboard chart hit,10
2217,I Don't Want to Live Without You,13
2218,Shoop,12
2219,22 (Taylor's Version),9
2220,You Give Good Love,2
2221,I Love Rock 'N Roll,16
2222,Bounce With Me (feat. Xscape) - Edited Album Version,4
2223,Salt Shaker,12
2224,Psychedelic Shack,10
2225,The Great Pretender,17
2226,Wow.,9
2227,Naked Eye,17
2228,The Long And Winding Road - Remastered 2009,11
2229,Like The Way I Do,17
2230,There Goes My Baby,4
2231,Didn't We Almost Have It All (Originally Performed By Whitney Houston) - Karaoke Backing Track,9
2232,Little Diane,17
2233,Deeper and Deeper,16
2234,Breakin' My Heart (Pretty Brown Eyes),17
2235,Material Girl,7
2236,Golden Years - 2016 Remaster,0
2237,Sexy Can I,5
2238,Mandy,10
2239,Dreamin',17
2240,Marvin Gaye (feat. Meghan Trainor),19
2241,(I Love You) For Sentimental Reasons,17
2242,Get Here,17
2243,Doctor My Eyes,1
2244,Key Largo,7
2245,Like You'll Never See Me Again (Live From Allianz Parque Sao Paulo Brazil),5
2246,Cool Change - Remastered 2022,18
2247,Mirrors,5
2248,Working for the Weekend,4
2249,"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)",4
2250,Come Softly To Me,17
2251,Angel,17
2252,Lotta Love,11
2253,Runaway,12
2254,That Don't Impress Me Much,12
2255,Rush Rush,17
2256,Dandy,15
2257,I Kissed A Girl,5
2258,Don't Happen Twice - In the Style of Kenny Chesney (Karaoke Version Teaching Vocal),17
2259,Do You Really Want To Hurt Me,18
2260,Habits (Stay High),17
2261,Grenade,9
2262,"Go, Jimmy, Go",17
2263,Harlem Shake,5
2264,When I See You Smile,2
2265,California Gurls,8
2266,No More Lies,3
2267,Fall in Love with Me,11
2268,Don't Take the Girl (Originally Performed by Tim Mcgraw) [Karaoke Version],5
2269,Angel of the Morning,12
2270,Get Closer,1
2271,Spiders & Snakes,10
2272,Post to Be (feat. Chris Brown & Jhene Aiko),13
2273,Tell Me,17
2274,Lido Shuffle,1
2275,"Billy, Don't Be A Hero",2
2276,If You Love Somebody Set Them Free,17
2277,Austin,7
2278,No Not Much,11
2279,Don't Just Stand There,10
2280,Stickwitu,17
2281,All Night Long - Single Version,17
2282,Invisible Touch - 2007 Remaster,18
2283,Mouth,7
2284,No One Else (feat. Da Brat),0
2285,First Class,5
2286,My Love,1
2287,Morgen,0
2288,Go Getta,8
2289,Make Me Lose Control,2
2290,Indian Reservation (The Lament of the Cherokee Reservation Indian),1
2291,Teen Idle,19
2292,Party Up (Up In Here),17
2293,Yoü And I,17
2294,Hooked on a Feeling - Rerecorded,8
2295,Go Your Own Way - 2004 Remaster,1
2296,Gotta Get Thru This - D'N'D Radio Edit,17
2297,Make It Rain,13
2298,Hold on My Heart - 2007 Remaster,13
2299,Ticket To Ride - Remastered 2009,18
2300,This Magic Moment,17
2301,Viva La Vida,19
2302,Say It Right,17
2303,Bank Account,9
2304,Girl You Know It's True,7
2305,Give Me Just One Night (Una Noche),7
2306,Gives You Hell,17
2307,Walking On Sunshine,2
2308,Try Again,2
2309,Forever After All,7
2310,Tragedy,10
2311,Studio,8
2312,Can't Live Without Your Love And Affection (Karaoke Version - In The Style Of Nelson),9
2313,Take Me to Church,7
2314,Lips Are Movin,5
2315,Rockin' Around The Christmas Tree,16
2316,Don't Forget Me (When I'm Gone),5
2317,Chariot,7
2318,I Don't Want to Wait,2
2319,Only Human,5
2320,Election Day - 2010 Remaster,2
2321,The Sign,7
2322,Breakaway,0
2323,How Forever Feels,0
2324,everything i wanted,9
2325,Lookin' For A Love,10
2326,I Am...I Said - Single Version,18
2327,Unskinny Bop,2
2328,Loungin (Who Do Ya Luv) - Remix,13
2329,Goodnight Tonight,1
2330,Why Don't You & I (feat. Chad Kroeger),7
2331,Kiss Kiss (feat. T-Pain),13
2332,I'll Be There,19
2333,Rainy Days And Mondays,7
2334,Mask Off,19
2335,Biggest Part of Me,0
2336,What About Now,2
2337,Venus,9
2338,Call Me Maybe,17
2339,Back On the Chain Gang - Originally Performed By the Pretenders,5
2340,Chapel Of Love,9
2341,Down In the DM (feat. Nicki Minaj) - Remix,4
2342,What a Fool Believes,1
2343,Get It Together,8
2344,On And On,10
2345,Born to Be Alive - The Original,0
2346,Cowboys to Girls,10
2347,Laughing On The Outside (Crying On The Inside) - Remastered,17
2348,We Are The Champions - Remastered,2
2349,What's New Pussycat?,10
2350,Big Daddy,17
2351,Indian Giver - Remastered,10
2352,Somethin' 'Bout A Truck,17
2353,My Boo - Hitman's Club Mix,0
2354,California Girls,0
2355,Mr. Lee,9
2356,I'm So Into You,7
2357,Misunderstanding,4
2358,I Love Me Some Him,0
2359,From the Bottom of My Broken Heart,8
2360,Blurry,17
