Song,Hot100 Rank,Hot100 Ranking Year,is_local,num_of_song_avaliable_markets
Trip,80,2019,FALSE,179
Cry,3,1958,FALSE,182
Ode To Billie Joe,3,1967,FALSE,184
Battle Hymn of the Republic,97,1959,FALSE,185
Heartaches - Remastered,3,2020,FALSE,185
We Can Work It Out - Remastered 2015,49,2000,FALSE,184
Seasons Change,16,1988,FALSE,185
Stuck with U - Karaoke Version originally performed by Ariana Grande & Justin Bieber,80,2020,FALSE,185
Crocodile Rock,7,1973,FALSE,184
Bailando - Spanish Version,38,2014,FALSE,2
3 A.M. Eternal - Originally Performed By The KLF,61,2011,FALSE,185
Super Bass,8,2011,FALSE,184
Money (That's What I Want),86,2006,FALSE,182
Calendar Girl,33,1961,FALSE,185
What Does It Take (To Win Your Love),20,1969,FALSE,183
Young Emotions - Remastered,85,1963,FALSE,184
Live Your Life,18,2009,FALSE,185
No One,76,2007,FALSE,185
"Puff, the Magic Dragon",12,1963,FALSE,184
Nobody but You,52,2022,FALSE,184
Just Take My Heart - 2021 Remastered,95,1992,FALSE,185
Piece of Me,83,2008,FALSE,185
Sky Walker (feat. Travis Scott),75,2018,FALSE,185
Single Ladies (Put a Ring on It),8,2009,FALSE,138
Payphone,4,2012,FALSE,4
Him & I (with Halsey),45,2018,FALSE,185
I'll Remember (Originally Performed by Madonna) [Karaoke Version],13,2013,FALSE,185
Because Of Love,48,1994,FALSE,184
Shoulder Lean (feat. T.I.),59,2006,FALSE,183
Motorcycle Mama,89,1972,FALSE,185
Wonâ€™t Get Fooled Again - Live,84,2017,FALSE,3
Confessions Part II,12,2004,FALSE,185
One Hundred Ways,61,1982,FALSE,184
It Never Rains in Southern California,98,1973,FALSE,185
What A Diff'rence A Day Made,45,1959,FALSE,184
Karaoke - Wishing Well,12,2005,FALSE,1
True Blue,76,1986,FALSE,170
Killer Queen - Remastered 2011,78,1975,FALSE,2
Runaround Sue,46,1961,FALSE,183
Freek-A-Leek,14,2004,FALSE,37
If You Leave Me Now,48,1976,FALSE,184
Walked Outta Heaven,57,2004,FALSE,185
Don't Talk to Strangers,20,1982,FALSE,182
Love Is A Hurtin' Thing,70,1992,FALSE,184
He Don't Love You (Like I Love You),19,1975,FALSE,184
I'd Do Anything For Love (But I Won't Do That) - Single Edit,38,1994,FALSE,2
One Moment in Time,89,2022,FALSE,185
Blowin' in the Wind,13,1963,FALSE,184
Be-Bop Baby - Remastered,42,1957,FALSE,184
P*$$Y Fairy (OTW),94,2020,FALSE,179
Rapture,15,2006,FALSE,184
That's That Shit,99,2008,FALSE,2
NO,45,2017,FALSE,184
My Love,37,1996,FALSE,0
Loser,50,1994,FALSE,34
My Happy Ending,54,2004,FALSE,185
Life Is A Highway,18,1992,FALSE,184
Let's Get Married (feat. Run) - ReMarqable Remix,46,2006,FALSE,147
"Help Me, Rhonda - Single Version/Remastered 2001",11,1965,FALSE,184
Trying To Hold On To My Woman,87,1974,FALSE,164
The Hills,32,2016,FALSE,184
Suicidal (Remix) [feat. Juice WRLD],75,2020,FALSE,185
Easy On Me,4,2022,FALSE,184
American Pie,3,1972,FALSE,184
Real Good Man,99,2015,FALSE,185
You Gotta Be (Originally Performed by Des'ree) [Karaoke Version] - 1995,20,2013,FALSE,185
Never Be Anyone Else But You - Remastered,42,1959,FALSE,184
The Glamorous Life,30,1984,FALSE,184
On Top Of Old Smoky,6,1996,FALSE,2
Funkytown - Single Version,8,2007,FALSE,182
Like a Rolling Stone,41,1965,FALSE,185
We've Got Tonight,94,2023,FALSE,95
She Believes In Me,47,1979,FALSE,184
Dance the Night Away - 2015 Remaster,95,1979,FALSE,171
In the Chapel in the Moonlight,28,2021,FALSE,185
You're Only Lonely,57,1980,FALSE,182
Somethin' Stupid,7,1967,FALSE,184
Laughing on the Outside (Crying on the Inside),24,1995,FALSE,2
Romeo's Tune,60,1980,FALSE,185
I Still Believe,36,1999,FALSE,185
Somebody's Watching Me,26,2012,FALSE,2
A Little Bitty Tear - Single Version,46,1994,FALSE,4
"Promises, Promises - US Single Version",64,1983,FALSE,185
Indian Lake,71,1968,FALSE,184
If I Can't Have You,29,2019,FALSE,184
Rock & Roll Must Go (It's in the Book),22,2012,FALSE,185
My Happiness (feat. Fiona Prine),5,2016,FALSE,185
"Bad Case Of Loving You (Doctor, Doctor)",92,1979,FALSE,183
High Enough,14,1991,FALSE,184
St. Elmos Fire (Man in Motion),18,1985,FALSE,184
Wait,99,1988,FALSE,184
Close,66,2016,FALSE,180
All I Have to Give,25,1999,FALSE,2
Do You Know (What It Takes),29,1997,FALSE,185
Please Please Me - Remastered 2009,16,1964,FALSE,184
Last Night Lonely,95,2022,FALSE,183
Savage,15,2020,FALSE,185
Boogie Nights,93,1977,FALSE,185
Rain On Me,83,2003,FALSE,184
Not a Bad Thing,45,2014,FALSE,185
Come Sail Away,56,1978,FALSE,184
Do Your Thing,47,1969,FALSE,184
Berzerk,67,2013,FALSE,184
A Teenager's Romance,25,2000,FALSE,184
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",9,2011,FALSE,4
Falling,22,2020,FALSE,185
Chained To The Rhythm,73,2017,FALSE,181
Black Beatles,19,2017,FALSE,184
Batdance,44,1989,FALSE,172
Sugar Walls,100,1985,FALSE,185
Elvira,31,1981,FALSE,184
Starving,94,2023,FALSE,0
What's My Name?,20,2011,FALSE,184
Heaven Knows,39,1979,FALSE,184
Love You So,48,2012,FALSE,181
Put Your Head On My Shoulder,12,2000,FALSE,185
Classic Man (feat. Roman GianArthur),72,2015,FALSE,185
He'll Have to Go,52,1964,FALSE,183
Apache,35,2007,FALSE,184
Outta My System (feat. T-Pain & JohntÃ¡ Austin),88,2007,FALSE,185
Wonderland By Night (Wunderland bei Nacht),72,1961,FALSE,173
Rockstar,56,2022,FALSE,185
Lady - Remastered 2022,42,1979,FALSE,183
Cryin',60,1993,FALSE,183
Red Dirt Road,86,2003,FALSE,185
The Lady In Red,21,1987,FALSE,184
Everybody's Somebody's Fool,11,2005,FALSE,184
Tusk - 2015 Remaster,94,1980,FALSE,139
Dang Me,83,1996,FALSE,185
"Oh, Babe What Would You Say",57,2020,FALSE,1
My Baby Loves Lovin',62,2013,FALSE,185
Shackles (Praise You),100,2000,FALSE,175
Treat Her Like A Lady,15,1996,FALSE,183
Let It Rock,32,2009,FALSE,124
Under the Bridge,8,1992,FALSE,172
Golden Earrings,35,1998,FALSE,184
When I Need You - Remastered,24,1977,FALSE,2
Your Body's Callin',64,1994,FALSE,185
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),59,2021,FALSE,185
The Shoop Shoop Song (It's In His Kiss),44,1993,FALSE,184
Angel Eyes - Album Edit,70,1999,FALSE,100
The Humpty Dance,62,1990,FALSE,185
Express,59,1975,FALSE,185
Bitch,15,1997,FALSE,184
See You in September,15,1966,FALSE,3
The Joker,40,1974,FALSE,184
The Big Hurt,36,1960,FALSE,185
Say It,74,2016,FALSE,181
Along Came Jones - 2007 Remaster; Remastered,80,2007,FALSE,184
Everything I Own,52,1972,FALSE,184
The Rain The Park And Other Things,49,1967,FALSE,184
Should I Do It,89,1982,FALSE,185
The London (feat. J. Cole & Travis Scott),64,2019,FALSE,183
Lovin' You,14,1975,FALSE,184
I Ran (So Far Away) - Single Edit,67,2023,FALSE,185
Music Box Dancer,49,1979,FALSE,185
The Finer Things,76,2010,FALSE,3
I Feel the Earth Move,3,1971,FALSE,185
One Mint Julep,60,1961,FALSE,184
Again,9,2001,FALSE,183
Woman - Remastered 2010,21,1981,FALSE,184
Don't Go Breaking My Heart (Karaoke in the style of Elton John & Kiki Dee),2,2009,FALSE,182
"The Loveliest Night of the Year (From ""The Great Caruso"")",9,2013,FALSE,184
Always in My Heart,96,1994,FALSE,184
H.O.L.Y.,49,2016,FALSE,183
Doo Wop (That Thing),41,1999,FALSE,185
The Twist,17,2020,FALSE,184
Hey Lover,20,1996,FALSE,184
It Was Almost Like A Song,66,1977,FALSE,184
Semi-Charmed Life,57,1998,FALSE,184
I Love,83,1995,FALSE,184
Stronger,27,2007,FALSE,184
Devil Or Angel,59,1960,FALSE,184
I Don't Dance,98,2014,FALSE,185
1 Thing,67,2005,FALSE,185
Youngblood,33,2019,FALSE,179
Best of You,68,2005,FALSE,185
On a Slow Boat to China,30,2000,FALSE,185
Wedding Song (There Is Love),92,1971,FALSE,185
Circles,2,2020,FALSE,183
Mad,42,2009,FALSE,183
Please Mr. Please,50,1975,FALSE,185
The Search Is Over,48,1985,FALSE,108
Make 'Em Say Ugh,40,1998,FALSE,184
A Little Bird Told Me,8,1998,FALSE,184
White Walls (feat. ScHoolboy Q & Hollis),92,2014,FALSE,185
Mood (feat. iann dior),47,2021,FALSE,185
"Sit Still, Look Pretty",78,2016,FALSE,185
"I Wonder, I Wonder, I Wonder",19,1996,FALSE,183
4 Seasons Of Loneliness,96,1998,FALSE,3
Counting Stars,5,2014,FALSE,183
Carrie,56,1987,FALSE,185
Mad About You,36,1986,FALSE,183
Rub You The Right Way,23,1990,FALSE,3
In My Little Corner of the World,94,2014,FALSE,185
Hotline Bling,30,2016,FALSE,184
You Don't Know What You've Got (Until You Lose It),56,2020,FALSE,185
Born Free,26,1966,FALSE,183
Theme from The Rockford Files (feat. Larry Carlton),85,2005,FALSE,184
Stutter (feat. Mystikal) - Double Take Remix,13,2001,FALSE,185
Thank You,8,2001,FALSE,148
Tears - Tommy Dee Remix,81,2010,FALSE,185
I Saw the Light,88,1972,FALSE,1
Misled,69,1999,FALSE,184
Sweet And Innocent,32,1971,FALSE,184
This Guy's In Love With You,7,1968,FALSE,185
Treat You Better,28,2017,FALSE,183
I Love You,20,1981,FALSE,182
Personality,3,1959,FALSE,183
Where Them Girls At (feat. Nicki Minaj & Flo Rida),88,2011,FALSE,3
Runaway,5,1961,FALSE,185
Words Get In the Way,47,1986,FALSE,185
My Heart Has A Mind Of Its Own,17,2005,FALSE,184
Superstition - Single Version,26,2002,FALSE,184
Plain Jane REMIX (feat. Nicki Minaj),74,2018,FALSE,185
Circles,62,2019,FALSE,183
Days Go By,80,2002,FALSE,185
Best Friend (feat. Doja Cat),29,2021,FALSE,185
I Never Cry,82,1977,FALSE,184
96 Tears,2,1966,FALSE,64
With These Hands,28,2022,FALSE,185
Inside Your Heaven (Bonus Track),71,2005,FALSE,185
Tell It Like It Is,76,2000,FALSE,1
"FourFiveSeconds - Tribute to Rihanna, Kanye West and Paul McCartney",42,2015,FALSE,185
Little Woman,41,2012,FALSE,185
My Boo - In the Style of Usher & Alicia Keys (Karaoke Version Teaching Vocal),24,2010,FALSE,185
Where Do You Go,52,1997,FALSE,185
No Letting Go,33,2003,FALSE,184
Major Tom (Coming Home),96,1989,FALSE,184
Naughty Girls (Need Love Too),28,1988,FALSE,185
I'm Upset (Karaoke Version Originally performed by Drake),86,2018,FALSE,185
Otherside,59,2000,FALSE,171
Baby Workout,60,1963,FALSE,184
"Bust It Baby, Pt. 2 (feat. Ne-Yo)",38,2008,FALSE,180
Let's Do It Again,66,1976,FALSE,3
100 Years,77,2004,FALSE,185
Say Something (feat. Chris Stapleton),85,2018,FALSE,185
(Keep Feeling) Fascination - Remastered,33,2005,FALSE,183
Jet Airliner,62,1978,FALSE,184
You Do,22,1949,FALSE,185
Like A G6,37,2010,FALSE,3
Sk8er Boi,96,2002,FALSE,185
Make It with You,13,1970,FALSE,184
Jingle Bell Rock,86,2022,FALSE,184
Return of the Mack,8,1997,FALSE,184
Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & MÃ½a),70,1998,FALSE,185
Suspicious Minds,18,1969,FALSE,185
Industry Baby - Karaoke Version Originally Performed by Lil Nas X & Jack Harlow,24,2021,FALSE,185
"Baby, It's Cold Outside",24,2000,FALSE,184
I Will Always Love You,1,1993,FALSE,185
Love Will Keep Us Together,1,1975,FALSE,178
Watch Me (Whip / Nae Nae),88,2016,FALSE,184
Let Her In,75,1978,FALSE,185
Separate Ways (Worlds Apart),38,1983,FALSE,0
White Flag,36,2004,FALSE,31
It's Not Over,17,2007,FALSE,2
Wind Beneath My Wings,7,1989,FALSE,183
Patches,74,2016,FALSE,185
Do That To Me One More Time,5,1980,FALSE,165
Stand By Me - Single Version,82,1980,FALSE,185
Hollaback Girl,2,2005,FALSE,170
Holiday,79,1984,FALSE,184
Flyin' Saucers Rock & Roll,30,1956,FALSE,184
Green Tambourine,47,1968,FALSE,185
Get the Party Started (Originally Performed by Pink) [Karaoke Version],24,2013,FALSE,185
Love Her Madly,94,1971,FALSE,170
Hot N Cold,25,2009,FALSE,3
We Belong,39,1985,FALSE,184
Go All The Way,33,1972,FALSE,184
You Must Love Me,99,1997,FALSE,184
Johnny Get Angry,56,1962,FALSE,184
Last Train to Clarksville - Original Stereo Version; 2006 Remaster,4,1966,FALSE,2
"I Can Dream, Can't I? - 1949 Single Version",19,1987,FALSE,184
Bring Em Out,65,2005,FALSE,185
Beyond the Sea,32,1960,FALSE,184
Fame - 2016 Remaster,8,1975,FALSE,184
Do You Believe In Love,51,1982,FALSE,184
Two Princes,28,1993,FALSE,185
Patience,71,1989,FALSE,183
Bits and Pieces - 2019 - Remaster,45,1964,FALSE,0
A Rose Is Still a Rose,95,1998,FALSE,185
Changing Partners,24,1960,FALSE,184
Time Has Come Today,87,1996,FALSE,185
(Oh Baby Mine) I Get so Lonely,7,1954,FALSE,185
Rock the Boat 4Love,43,2021,FALSE,185
Party (feat. AndrÃ© 3000),77,2022,FALSE,185
California Love - Original Version,17,1998,FALSE,184
Cyclone (feat. T-Pain) - Main,71,2008,FALSE,54
Popcorn,28,2005,FALSE,185
Baby Scratch My Back - Single Version,86,2003,FALSE,184
Bad Day,1,2006,FALSE,185
I Have Nothing,30,1993,FALSE,185
Wannabe,10,1997,FALSE,184
Don't Give up on Us (Originally Performed by David Soul) [Karaoke Version],29,2015,FALSE,185
The Most Beautiful Girl,23,1974,FALSE,185
Everytime We Touch,31,2010,FALSE,185
Silent Running,70,1986,FALSE,2
I Know What You Did Last Summer (tribute to Shawn Mendes & Camila Cabello),86,2016,FALSE,185
Something About The Way You Look Tonight - Edit Version,8,1998,FALSE,184
With Or Without You,15,1987,FALSE,183
Breakin'...There's No Stopping Us,80,1984,FALSE,1
Maybe Your Baby,12,1972,FALSE,184
I Get Around,56,1993,FALSE,170
Moody River - Single Version,59,1993,FALSE,183
Both (feat. Drake),83,2017,FALSE,184
To Know Him is to Love Him,44,1978,FALSE,185
My Hitta,58,2014,FALSE,2
Blinding Lights,3,2021,FALSE,184
Lose Yourself,63,2005,FALSE,184
Baby Don't Go,72,1972,FALSE,184
Light My Fire,52,2011,FALSE,185
Two Out of Three Ain't Bad,30,1978,FALSE,185
Heaven,31,2002,FALSE,181
Jailhouse Rock,16,1997,FALSE,185
A Fifth Of Beethoven,10,1977,FALSE,179
Up on the Roof,64,1964,FALSE,184
Sugar,5,2015,FALSE,166
Hello It's Me,82,1974,FALSE,1
Cherish - Single Version,17,2018,FALSE,184
Gangsta Lovin',19,2002,FALSE,180
Step By Step,83,1960,FALSE,185
Wheel Of Fortune,2,1964,FALSE,184
So Very Hard to Go,77,1973,FALSE,184
Every Breath You Take,1,1983,FALSE,184
Two Is Better Than One (feat. Taylor Swift),72,2010,FALSE,183
Right Back Where We Started From,28,2020,FALSE,185
It Will Rain,26,2012,FALSE,1
Can't We Try,63,1987,FALSE,185
Glad You Came,6,2012,FALSE,184
Back To You - From 13 Reasons Why â€“ Season 2 Soundtrack,41,2018,FALSE,184
That's the Way of the World,60,1975,FALSE,185
I'm Gonna Knock on Your Door,92,2010,FALSE,0
Thunder Island,50,1978,FALSE,184
Love Takes Time,69,1991,FALSE,185
At Your Best (You Are Love),70,1994,FALSE,185
Brokenhearted (feat. Wanya Morris) - Single Version,77,2005,FALSE,2
Dizzy,6,2001,FALSE,184
S&M,12,2011,FALSE,184
Easy Lover,12,2012,FALSE,185
Cruel Summer,66,1998,FALSE,185
La Tortura (feat. Alejandro Sanz),60,2005,FALSE,185
Good Days,52,2021,FALSE,184
Red River Rock,31,1959,FALSE,141
Party Rock Anthem,2,2011,FALSE,20
Everything She Wants,25,1985,FALSE,185
Here We Are,74,1990,FALSE,73
What Would You Do?,22,2001,FALSE,182
34+35,21,2021,FALSE,184
Fall In Love,54,2022,FALSE,0
In Your Room,66,1989,FALSE,178
Sweeter Than You - Remastered / Alternate Version,83,1959,FALSE,184
Allegheny Moon,24,1960,FALSE,184
Lean On,16,2015,FALSE,0
She Will Be Loved - Radio Mix,35,2004,FALSE,180
She Works Hard For The Money,15,1983,FALSE,180
I've Told Every Little Star (Originally Performed by Linda Scott) [Karaoke Version],74,2016,FALSE,185
Escapade,15,1990,FALSE,3
Lemon - Edit,83,2018,FALSE,185
Pretty Wings - uncut,99,2009,FALSE,184
Butta Love,94,1998,FALSE,185
"You, You, You",28,1951,FALSE,185
Whatcha Say,34,2010,FALSE,1
Whip Appeal,83,1990,FALSE,185
This Little Girl,58,2004,FALSE,184
Feel Me Flow,73,1995,FALSE,185
Waterfalls,2,1995,FALSE,185
Shake It Off,18,2015,FALSE,2
London Bridge,22,2006,FALSE,3
Heaven Must Be Missing An Angel - Pt. 1,60,2004,FALSE,183
Blue Moon - 45 Version,40,1961,FALSE,2
"Tonight, Tonight, Tonight - 2007 Remaster",68,1987,FALSE,184
Stand Up and Shout About Love,8,1980,FALSE,184
Bleeding Love,2,2008,FALSE,184
The End of the World,2,1994,FALSE,184
Drunk in Love (feat. Jay-Z),35,2014,FALSE,185
POPSTAR (feat. Drake),66,2020,FALSE,185
What Do You Mean?,31,2023,FALSE,93
A Big Hunk O' Love,30,2022,FALSE,185
Rockstar,5,2022,FALSE,185
Sunshine,13,2007,FALSE,185
Home,46,2013,FALSE,183
Closer,20,2008,FALSE,183
R.O.C.K. In The U.S.A. (A Salute To 60's Rock),66,1986,FALSE,184
Mandolin Rain,65,1987,FALSE,185
Sugartime,27,1999,FALSE,184
Diggin' On You,45,1996,FALSE,185
Did You Ever Have to Make up Your Mind?,48,1966,FALSE,185
Stuck on You,9,1963,FALSE,185
Get a Job,14,1996,FALSE,181
Always,91,1994,FALSE,184
THATS WHAT I WANT,14,2022,FALSE,185
Ballerina Girl,95,1987,FALSE,183
"The Ballad of Davy Crockett (From ""Davy Crockett"")",6,2020,FALSE,185
All Right,70,1983,FALSE,1
Tootsee Roll (Dance Version),63,1995,FALSE,185
The Way You Love Me,41,2000,FALSE,184
Little Star,15,2005,FALSE,2
Good Time,38,2021,FALSE,95
Blue Velvet,5,1963,FALSE,185
Chains,68,2015,FALSE,183
It's Your Thing,21,1969,FALSE,185
Dead Giveaway,86,1983,FALSE,51
Cry Baby (feat. DaBaby),77,2021,FALSE,185
Love Me Do - Remastered 2009,14,1964,FALSE,184
Little Darlin',3,1996,FALSE,184
Handy Man,46,1977,FALSE,185
The Mighty Quinn,91,1994,FALSE,4
Fooled Around And Fell In Love,56,1976,FALSE,4
Love Yourself,1,2016,FALSE,166
Cheap Thrills,11,2016,FALSE,172
Sexy And I Know It,57,2011,FALSE,4
Drive By,19,2012,FALSE,185
Monster Mash,38,1973,FALSE,184
Bless You,73,2021,FALSE,1
Now That We Found Love,67,1991,FALSE,184
Break Free,37,2014,FALSE,166
Happy Together,8,1967,FALSE,182
La La La,82,2014,FALSE,3
Without You (feat. Usher),73,2011,FALSE,3
Missing You,49,1985,FALSE,2
Pillow Talk,22,1996,FALSE,14
Hotline Bling,24,2016,FALSE,184
Who I Am,82,2001,FALSE,184
Ivory Tower,32,2011,FALSE,185
Behind Closed Doors,52,1973,FALSE,185
Shake,66,2003,FALSE,184
Do It To It,56,2006,FALSE,184
Dior,83,2020,FALSE,183
Weâ€™re Good,90,2023,FALSE,127
"Be My Love (From ""The Toast of New Orleans"")",5,2013,FALSE,184
Don't Wanna Be a Player (In the Style of Joe) [Karaoke Version],84,2013,FALSE,185
Heaven,15,1989,FALSE,185
Tennessee Waltz,18,1960,FALSE,184
Little Willy,18,2010,FALSE,182
"Hold Me, Thrill Me, Kiss Me",14,1996,FALSE,183
Because Of You,69,1999,FALSE,184
The Sweetest Thing (I've Ever Known),21,1982,FALSE,184
(Your Love Has Lifted Me) Higher And Higher,8,1977,FALSE,184
All About That Bass,8,2015,FALSE,176
positions,14,2021,FALSE,184
Rico Suave,89,1991,FALSE,4
A Groovy Kind of Love,29,2004,FALSE,167
Too Many Rivers,79,2006,FALSE,184
Wild Wild West (feat. Dru Hill & Kool Mo Dee) - Album Version With Intro,33,1999,FALSE,185
Together Again,12,1997,FALSE,183
Halo,24,2009,FALSE,145
Scars,36,2005,FALSE,34
Livin' It Up,76,2002,FALSE,184
It's A Shame,76,1970,FALSE,184
The Happy Organ,22,2020,FALSE,185
It Isn't Fair,10,2011,FALSE,185
"The Heat Is On - From ""Beverly Hills Cop"" Soundtrack",19,2018,FALSE,184
Someone To Call My Lover,38,2001,FALSE,183
Let It Rock,65,2008,FALSE,124
Feel It Still,45,2017,FALSE,184
Love Somebody,16,1948,FALSE,185
Got Me Waiting,88,1994,FALSE,142
Short Dick Man - Original,76,2011,FALSE,185
I Guess That's Why They Call It The Blues,33,1984,FALSE,184
Smooth (feat. Rob Thomas),2,2000,FALSE,185
Sweet Dreams - Radio Version,37,1996,FALSE,48
Never Ending Song of Love,67,1971,FALSE,184
Uma Thurman,60,2015,FALSE,183
Only,51,2015,FALSE,3
Up Around The Bend,73,1970,FALSE,183
Maybe It's Because,26,2008,FALSE,185
Don't Be Cruel,79,1988,FALSE,184
Hollywood Nights,99,1978,FALSE,184
Soul Deep,98,1969,FALSE,185
Love Is the Answer,68,1979,FALSE,184
Union of the Snake - 2010 Remaster,43,1984,FALSE,172
Together Forever,44,1988,FALSE,0
Walk Away,45,2006,FALSE,185
In The Dark,83,2012,FALSE,36
Get Up and Boogie - That's Right,24,2010,FALSE,181
You Got It (The Right Stuff),52,1989,FALSE,185
(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,37,2006,FALSE,1
Sunshine (Go Away Today),37,1972,FALSE,184
Give It To Me,21,2007,FALSE,184
Run Away,38,1995,FALSE,172
"Bailamos - From ""Wild Wild West""",26,1999,FALSE,179
The Yellow Rose of Texas - Single Version,3,1955,FALSE,185
"Would I Love You, Love You, Love You",26,2017,FALSE,0
I Still Haven't Found What I'm Looking For,23,1987,FALSE,183
Better,20,2019,FALSE,177
Sign Your Name (Karaoke in the style of Terence Trent d'Arby),58,2009,FALSE,182
Kansas City,9,1959,FALSE,185
The World Is Waiting For The Sunrise,19,1953,FALSE,184
Reach Out Of The Darkness,49,1968,FALSE,184
Go Now,50,2014,FALSE,185
Strange Way,100,1979,FALSE,184
A Swingin' Safari,83,1962,FALSE,184
Bump n' Grind,11,1994,FALSE,185
Stranger in Paradise,29,2008,FALSE,185
Sylvia's Mother,64,1972,FALSE,185
Owner of a Lonely Heart,8,1984,FALSE,185
Love's Theme,3,1998,FALSE,184
One More Night,18,2012,FALSE,4
Touch Me,49,1969,FALSE,166
"Shout, Pt. 1",58,2020,FALSE,185
Seasons in the Sun,2,1974,FALSE,184
No Diggity,23,1997,FALSE,170
Show Me the Meaning of Being Lonely,31,2000,FALSE,185
"Get Outta My Dreams, Get Into My Car",15,2010,FALSE,185
Transfusion,47,1985,FALSE,184
Atlantis,53,1969,FALSE,183
I Apologize,25,1994,FALSE,184
Clair,72,1973,FALSE,0
Mo Bamba,49,2019,FALSE,182
Disco Inferno,54,2009,FALSE,0
You Make My Dreams (Come True),43,1981,FALSE,185
The Other Side,66,2013,FALSE,2
Mesmerize,25,2003,FALSE,3
Carrie-Anne,64,1967,FALSE,2
Centuries,43,2015,FALSE,183
Empty Garden (Hey Hey Johnny) - Remastered 2003,76,1982,FALSE,184
"Jesus, Take the Wheel",78,2006,FALSE,185
Doggin' Around,95,1960,FALSE,184
Bewitched,24,1950,FALSE,185
I Like It,69,2023,FALSE,0
Barely Breathing,18,1997,FALSE,184
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",74,2017,FALSE,178
Wanted (with Henri RenÃ© & His Orchestra and Chorus),2,2010,FALSE,182
Blue Eyes - Remastered 2003,62,1982,FALSE,184
Breakdance - Radio Edit,69,1984,FALSE,185
Ebony Eyes,96,1978,FALSE,184
I Need You Now - 2001 Remastered,13,2001,FALSE,184
You Remind Me of Something,83,1996,FALSE,185
U Don't Know Me,79,2005,FALSE,185
We'll Sing in the Sunshine (Originally Performed by Gale Garnett) [Karaoke Version],8,2016,FALSE,185
I Love Music,52,1976,FALSE,185
Don't Shed a Tear (In the Style of Paul Carrack) [Karaoke Version],83,2013,FALSE,185
Sioux City Sue - 1946 Single Version / With 1954 Spoken Introduction,34,1954,FALSE,183
Butterflies,64,2002,FALSE,185
Hello Again,70,1981,FALSE,184
Closer,10,2016,FALSE,185
Allentown,43,1983,FALSE,185
Crying In The Chapel,24,2006,FALSE,2
What's Forever For?,93,1982,FALSE,182
Blown Away,70,2012,FALSE,183
Panini,71,2020,FALSE,185
No Lie,54,2012,FALSE,4
Too Fat To Fly,23,2011,FALSE,185
Sunshine Of Your Love,6,1968,FALSE,184
Little Jeannie,16,1980,FALSE,184
You Belong To Me,4,2002,FALSE,184
Every Little Thing I Do,45,1995,FALSE,184
Dirty Laundry,48,1983,FALSE,0
Na Na,53,2014,FALSE,3
The Whiffenpoof Song,32,2008,FALSE,184
"Twist, Twist Senora",88,1998,FALSE,184
Small Town Boy,94,2017,FALSE,0
I'll Be Missing You (feat. 112),3,2004,FALSE,184
Love Letters In The Sand - Single Version,25,1993,FALSE,183
Play It Again,64,2014,FALSE,184
Since I Don't Have You (Alternative Take),65,1959,FALSE,185
Papa Don't Preach,29,1986,FALSE,170
Walk This Way,90,1977,FALSE,183
My Last,100,2011,FALSE,181
Rock And Roll Music - Remastered 2012,62,2012,FALSE,184
changes,94,2018,FALSE,182
From a Distance,15,1991,FALSE,184
Count on Me,66,1978,FALSE,184
Da Doo Ron Ron,45,1977,FALSE,185
Don't Wanna Go Home (Originally Performed By Jason Derulo),87,2011,FALSE,182
Lady,61,1975,FALSE,174
Mysterious Ways,57,1992,FALSE,184
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",31,2015,FALSE,1
I Love The Way You Love,65,1960,FALSE,183
Travelin' Man - Remastered,23,1961,FALSE,184
1-800-273-8255,31,2017,FALSE,179
Câ€™est la vie,6,1998,FALSE,184
Demons,62,2013,FALSE,2
On the Way Down,73,2004,FALSE,184
Incomplete,25,2000,FALSE,83
Fire,39,2010,FALSE,184
When a Man Loves a Woman,31,1966,FALSE,184
Yummy,58,2023,FALSE,95
Natural High - Single Version,39,2002,FALSE,184
Smells Like Teen Spirit,32,1992,FALSE,3
P.I.M.P.,21,2003,FALSE,12
Sincerely,8,1999,FALSE,184
Girls Night Out (with Doechii),69,2022,FALSE,183
(Theme From) Valley of the Dolls,42,1968,FALSE,184
Sowing The Seeds Of Love,58,1989,FALSE,0
Blueberry Faygo,27,2020,FALSE,179
Do You Want Me,98,1991,FALSE,184
Turn My Swag On,79,2009,FALSE,137
Last Friday Night (T.G.I.F.),14,2011,FALSE,3
Stop! In The Name Of Love,20,1965,FALSE,180
Breakaway,74,2004,FALSE,185
Gangsta's Paradise,33,1996,FALSE,185
Circles Around This Town,100,2022,FALSE,185
Who Will Save Your Soul,25,1996,FALSE,184
Lonely Weekends - Remastered 2022,99,1960,FALSE,183
Sorry 2004,53,2004,FALSE,133
Hold On Tight,81,1981,FALSE,185
Our House,53,1983,FALSE,2
Apologize,5,2008,FALSE,4
Baby Hold On (2022 Remaster),67,1978,FALSE,185
Legs - 2008 Remaster,60,1984,FALSE,0
A Blossom Fell,20,1991,FALSE,184
Cats In The Cradle,61,1993,FALSE,98
