Song,Hot100 Rank,Hot100 Ranking Year,is_local,num_of_song_avaliable_markets
"Me, Myself and I",26,2004,FALSE,181
Jambalaya (On The Bayou),15,2002,FALSE,184
Playground In My Mind - Single Version,12,1973,FALSE,6
Rollout (My Business),77,2002,FALSE,166
Run This Town,31,2009,FALSE,184
Lay Down (Candles In The Rain) - Long Version,23,1999,FALSE,184
With A Little Luck - Remastered 1993,18,1978,FALSE,184
Like a Boy,68,2007,FALSE,170
A Tree In The Meadow - Remastered 1990,4,1954,FALSE,182
SexyBack (feat. Timbaland),9,2006,FALSE,185
Melody Of Love,12,1957,FALSE,184
I'm Your Puppet (Originally Performed by James & Bobby Purify) [Karaoke Version],76,2016,FALSE,185
Hocus Pocus,69,2001,FALSE,185
Friday I'm in Love,71,1992,FALSE,2
Best I Ever Had,22,2009,FALSE,184
God's Country,53,2019,FALSE,185
"The Good, the Bad and the Ugly - From ""The Good, the Bad and the Ugly""",8,1999,FALSE,113
4 Minutes (feat. Justin Timberlake & Timbaland),23,2009,FALSE,145
When Will I Be Loved,47,1975,FALSE,184
Dream About You - Pop Mix,92,1995,FALSE,181
I Do,58,1998,FALSE,3
Same Love (feat. Mary Lambert),43,2013,FALSE,182
Read Your Mind,64,2004,FALSE,184
Louie Louie,99,2006,FALSE,182
Wrecking Ball,18,2013,FALSE,185
Shawty (feat. T Pain),60,2007,FALSE,184
Spinning Wheel,27,1969,FALSE,185
Take a Bow,8,1995,FALSE,184
Into The Night,69,1980,FALSE,163
Take Me Home,56,1979,FALSE,184
Girlfriend,12,2007,FALSE,185
There You'll Be - 2007 Remaster,66,2007,FALSE,184
What You Know,47,2006,FALSE,185
Ain't No Stoppin' Us Now (Karaoke in the style of McFadden & Whitehead),65,2009,FALSE,182
Style,29,2015,FALSE,2
I Wanna Be Bad,84,2001,FALSE,184
The Second Time Around,44,1980,FALSE,51
Love Child,27,1997,FALSE,184
Rags to Riches,19,2011,FALSE,185
Back To The Hotel,78,1992,FALSE,185
Like I Love You,99,2002,FALSE,185
You're All I Need To Get By,82,1968,FALSE,183
I Want You Back - Radio Edit,37,1998,FALSE,185
Roses Are Red (My Love),4,1991,FALSE,84
Here I Am (Just When I Thought I Was Over You),80,1982,FALSE,170
Lips Of An Angel,30,2006,FALSE,102
Kiss an Angel Good Mornin',74,1972,FALSE,185
Green Onions,53,1962,FALSE,183
Ole Buttermilk Sky,15,2000,FALSE,185
Tears in Heaven - Acoustic Live,6,1992,FALSE,185
I Think We're Alone Now - Single Version,12,1967,FALSE,184
"Walk, Don't Run '64",90,1964,FALSE,183
Use Somebody,87,2010,FALSE,183
The Gypsy - 78rpm Version,9,2014,FALSE,184
C U When U Get There,66,1997,FALSE,185
Put That Woman First,82,2003,FALSE,182
Hard to Get,26,2022,FALSE,185
Lost in Your Eyes,13,1989,FALSE,184
On My Mind,81,2016,FALSE,181
Hawaii Five-O,58,1969,FALSE,184
I Don't Want to Talk About It - 2008 Remaster,50,1989,FALSE,184
(Just Like) Starting Over - Remastered 2010,4,1981,FALSE,184
Headlines,85,2011,FALSE,184
Don't Cry Out Loud,26,1979,FALSE,98
Time,48,1981,FALSE,185
Lisbon Antigua,3,1963,FALSE,184
All About That Bass,28,2015,FALSE,176
Can You Feel The Love Tonight,18,1995,FALSE,4
Absolutely (Story of a Girl) - Radio Mix,35,2000,FALSE,185
Feels So Good,21,1978,FALSE,184
Everytime You Go Away,11,2002,FALSE,2
It's Goin' Down (feat. Nitti),18,2006,FALSE,170
I'm Different (In the Style of 2 Chainz) [Karaoke Intrumental Version],99,2013,FALSE,185
Because They're Young,37,2006,FALSE,185
Ballad Of The Green Berets,10,1972,FALSE,185
Desire,58,2018,FALSE,184
good 4 u,31,2022,FALSE,184
It's Not Unusual,64,1965,FALSE,184
Shake It Off,13,2014,FALSE,2
Patches,35,1970,FALSE,184
I Want to Be Your Man - Remastered Version,59,1988,FALSE,184
Rock On,17,1974,FALSE,185
As It Was,2,2022,FALSE,0
Lil' Red Riding Hood,16,1972,FALSE,185
U & Ur Hand (In The Style Of Pink),29,2011,FALSE,182
Marry Me,76,2018,FALSE,184
When I'm Gone,90,2006,FALSE,179
Bottoms Up (feat. Nicki Minaj),64,2011,FALSE,185
Funny How Time Slips Away,70,1996,FALSE,184
Mr. Big Stuff,18,1971,FALSE,100
6 Foot 7 Foot,41,2011,FALSE,184
Blue Bayou,61,1978,FALSE,171
Elenore,80,1968,FALSE,182
Tennessee Waltz,10,1960,FALSE,184
Here's to the Night,90,2001,FALSE,172
Hooked On Classics (Parts 1 & 2),56,1983,FALSE,185
You Right,43,2021,FALSE,185
Barbie Girl,94,1997,FALSE,184
Easy,33,1977,FALSE,183
We Got A Love Thang,97,1992,FALSE,183
Old Cape Cod,46,1960,FALSE,184
Miss Me Blind - Remastered 2003,63,1984,FALSE,184
Me Too,62,2017,FALSE,184
So Good,80,2012,FALSE,116
Redneck Woman,97,2004,FALSE,185
Too Close,1,1998,FALSE,185
"Don't Let The Sun Go Down On Me - Live From Madison Square Garden, USA/1974",78,1976,FALSE,184
Daydreamin',55,1998,FALSE,185
Sealed with a Kiss,87,1972,FALSE,185
One Woman,98,1993,FALSE,184
I Can't Get Next To You,3,1969,FALSE,183
Higher Love,20,1986,FALSE,184
"Open The Door, Richard",33,2003,FALSE,184
Touch Me (I Want Your Body),44,1987,FALSE,185
Sending All My Love,31,2005,FALSE,184
Call Me,1,2004,FALSE,184
Chances Are (with Ray Conniff & His Orchestra),39,1958,FALSE,185
If You,61,1999,FALSE,184
The Way You Do The Things You Do,71,1964,FALSE,184
Sunny,14,1966,FALSE,100
Girl On TV,93,2000,FALSE,184
Get Up (feat. Chamillionaire),80,2006,FALSE,170
Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,19,1961,FALSE,184
"Never Again, Again",87,2000,FALSE,184
Shut Up and Dance,6,2015,FALSE,185
Sentimental Lady,78,1978,FALSE,184
Paris,42,2017,FALSE,185
Vehicle,85,1970,FALSE,184
Money Honey,92,2004,FALSE,184
Love Is in Control (Finger on the Trigger),59,1982,FALSE,184
The Boy Is Mine - Radio Edit,2,2018,FALSE,168
Fly Robin Fly,14,2010,FALSE,181
Show Me (feat. Chris Brown),43,2014,FALSE,185
Po Pimp,91,1996,FALSE,185
Dear Hearts And Gentle People,29,1997,FALSE,184
Gimme That,69,2006,FALSE,185
Stay,45,1992,FALSE,185
"Gee Whiz, Look at His Eyes",62,1961,FALSE,184
The Cisco Kid,55,1976,FALSE,185
Donâ€™t Wanna Fall in Love,29,2023,FALSE,182
Brown Eyed Girl,35,1967,FALSE,184
Total Eclipse Of The Heart - Dance Mix,19,2010,FALSE,2
Hit Me Off,86,1996,FALSE,183
This Girl Is a Woman Now,84,1969,FALSE,185
Dead And Gone,12,2009,FALSE,185
Still into You,100,2013,FALSE,140
Peggy Sue,50,1958,FALSE,184
Rock Wit U (Awww Baby),81,2003,FALSE,184
When You're Gone,95,2002,FALSE,184
What About Your Friends,88,1992,FALSE,185
Through The Wire,61,2004,FALSE,184
This Lil' Game We Play,68,2013,FALSE,185
How Sweet It Is (To Be Loved By You) - 2019 Remaster,69,1975,FALSE,185
Fox On The Run,76,1993,FALSE,3
Saving All My Love for You,23,1985,FALSE,185
Too Late For Goodbyes,77,1985,FALSE,183
I'll Be,54,1997,FALSE,169
Nothing From Nothing,37,1974,FALSE,184
Trying,29,1955,FALSE,185
Mockingbird,19,2011,FALSE,183
U Got It Bad,9,2002,FALSE,185
Natural,69,2018,FALSE,184
Summer Nights - From â€œGreaseâ€,69,2023,FALSE,95
"Somewhere Out There - From ""An American Tail"" Soundtrack",39,1987,FALSE,184
As Good As I Once Was,84,2005,FALSE,184
Anytime - Remastered,12,2001,FALSE,184
Frozen,32,2021,FALSE,185
I Want Crazy - Encore,72,2013,FALSE,2
50 Ways to Say Goodbye,81,2012,FALSE,185
Unwell,6,2003,FALSE,183
If Today Was Your Last Day,70,2009,FALSE,174
Steppin' Out,82,1983,FALSE,3
All I Want,53,1992,FALSE,185
Night Moves,55,1977,FALSE,184
Hate Me,82,2006,FALSE,3
Dance Ballerina Dance,13,1949,FALSE,185
Roses,56,2004,FALSE,185
The Sweetest Days,75,1995,FALSE,184
She's so High,51,1999,FALSE,185
My Way (feat. Monty),44,2015,FALSE,154
Hold Your Head Up,50,1972,FALSE,185
Dynamite,41,2021,FALSE,184
ABC,15,1970,FALSE,184
Just Kickin' It,69,1994,FALSE,185
O,91,2005,FALSE,2
All Time Low,75,2017,FALSE,3
(Youâ€™re My) Soul & Inspiration,12,2008,FALSE,185
Something Just Like This,5,2017,FALSE,185
deja vu,13,2021,FALSE,184
Let's Wait Awhile,48,1987,FALSE,184
Drift Away - Single Version,17,2001,FALSE,174
Gloria,75,1995,FALSE,184
No Other Love (with Henri RenÃ© & His Orchestra and Chorus),8,1999,FALSE,75
Total Eclipse of the Heart,6,2009,FALSE,185
Thank The Lord For The Night Time,100,1968,FALSE,184
What Have I Done to Deserve This? (with Dusty Springfield) - 2018 Remaster,50,1988,FALSE,184
Counting Stars,63,2014,FALSE,183
