Song,Hot100 Rank,Hot100 Ranking Year
Falling - 2013 Japan Remaster,79,1978
When You're Mad,94,2006
It Feels So Good,34,2000
Let's Dance - 2018 Remaster,18,1983
Blame It,60,2008
Don’t Dream It’s Over - Home Demo,13,2016
You Don't Bring Me Flowers (In the Style of Neil Diamond and Barbra Streisand) [Karaoke Version],21,2013
Walking To New Orleans,72,1960
The Stripper,5,2005
All By Myself,49,1997
You Used to Love Me,79,1995
Pleasant Valley Sunday - 2007 Remaster,74,1967
Scream,44,2012
Party Rock Anthem,29,2012
Notorious - 2010 Remaster,25,1987
It Ends Tonight,55,2007
Chandelier,25,2015
Broken Hearted Me,92,2000
Billionaire (feat. Bruno Mars),23,2010
a lot,42,2019
Spies Like Us - 2022 Remaster,92,2022
It's Time,91,2012
Here Comes The Sun,95,1972
Adore You,100,2014
It Keeps Right on A-Hurtin',18,1962
Uptown,72,1962
Shotta Flow (feat. Blueface) [Remix],92,2019
For The Night (feat. Lil Baby & DaBaby),32,2021
Trip,80,2019
Cry,3,1958
Ode To Billie Joe,3,1967
Battle Hymn of the Republic,97,1959
Heartaches - Remastered,3,2020
We Can Work It Out - Remastered 2015,49,2000
Seasons Change,16,1988
Stuck with U - Karaoke Version originally performed by Ariana Grande & Justin Bieber,80,2020
Crocodile Rock,7,1973
Bailando - Spanish Version,38,2014
3 A.M. Eternal - Originally Performed By The KLF,61,2011
Super Bass,8,2011
Money (That's What I Want),86,2006
Calendar Girl,33,1961
What Does It Take (To Win Your Love),20,1969
Young Emotions - Remastered,85,1963
Live Your Life,18,2009
No One,76,2007
"Puff, the Magic Dragon",12,1963
Nobody but You,52,2022
Just Take My Heart - 2021 Remastered,95,1992
Piece of Me,83,2008
Sky Walker (feat. Travis Scott),75,2018
Single Ladies (Put a Ring on It),8,2009
Payphone,4,2012
Him & I (with Halsey),45,2018
I'll Remember (Originally Performed by Madonna) [Karaoke Version],13,2013
Because Of Love,48,1994
Shoulder Lean (feat. T.I.),59,2006
Motorcycle Mama,89,1972
Won’t Get Fooled Again - Live,84,2017
Confessions Part II,12,2004
One Hundred Ways,61,1982
It Never Rains in Southern California,98,1973
What A Diff'rence A Day Made,45,1959
Karaoke - Wishing Well,12,2005
True Blue,76,1986
Killer Queen - Remastered 2011,78,1975
Runaround Sue,46,1961
Freek-A-Leek,14,2004
If You Leave Me Now,48,1976
Walked Outta Heaven,57,2004
Don't Talk to Strangers,20,1982
Love Is A Hurtin' Thing,70,1992
He Don't Love You (Like I Love You),19,1975
I'd Do Anything For Love (But I Won't Do That) - Single Edit,38,1994
One Moment in Time,89,2022
Blowin' in the Wind,13,1963
Be-Bop Baby - Remastered,42,1957
P*$$Y Fairy (OTW),94,2020
Rapture,15,2006
That's That Shit,99,2008
NO,45,2017
My Love,37,1996
Loser,50,1994
My Happy Ending,54,2004
Life Is A Highway,18,1992
Let's Get Married (feat. Run) - ReMarqable Remix,46,2006
"Help Me, Rhonda - Single Version/Remastered 2001",11,1965
Trying To Hold On To My Woman,87,1974
The Hills,32,2016
Suicidal (Remix) [feat. Juice WRLD],75,2020
Easy On Me,4,2022
American Pie,3,1972
Real Good Man,99,2015
You Gotta Be (Originally Performed by Des'ree) [Karaoke Version] - 1995,20,2013
Never Be Anyone Else But You - Remastered,42,1959
The Glamorous Life,30,1984
On Top Of Old Smoky,6,1996
Funkytown - Single Version,8,2007
Like a Rolling Stone,41,1965
We've Got Tonight,94,2023
She Believes In Me,47,1979
Dance the Night Away - 2015 Remaster,95,1979
In the Chapel in the Moonlight,28,2021
You're Only Lonely,57,1980
Somethin' Stupid,7,1967
Laughing on the Outside (Crying on the Inside),24,1995
Romeo's Tune,60,1980
I Still Believe,36,1999
Somebody's Watching Me,26,2012
A Little Bitty Tear - Single Version,46,1994
"Promises, Promises - US Single Version",64,1983
Indian Lake,71,1968
If I Can't Have You,29,2019
Rock & Roll Must Go (It's in the Book),22,2012
My Happiness (feat. Fiona Prine),5,2016
"Bad Case Of Loving You (Doctor, Doctor)",92,1979
High Enough,14,1991
St. Elmos Fire (Man in Motion),18,1985
Wait,99,1988
Close,66,2016
All I Have to Give,25,1999
Do You Know (What It Takes),29,1997
Please Please Me - Remastered 2009,16,1964
Last Night Lonely,95,2022
Savage,15,2020
Boogie Nights,93,1977
Rain On Me,83,2003
Not a Bad Thing,45,2014
Come Sail Away,56,1978
Do Your Thing,47,1969
Berzerk,67,2013
A Teenager's Romance,25,2000
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",9,2011
Falling,22,2020
Chained To The Rhythm,73,2017
Black Beatles,19,2017
Batdance,44,1989
Sugar Walls,100,1985
Elvira,31,1981
Starving,94,2023
What's My Name?,20,2011
Heaven Knows,39,1979
Love You So,48,2012
Put Your Head On My Shoulder,12,2000
Classic Man (feat. Roman GianArthur),72,2015
He'll Have to Go,52,1964
Apache,35,2007
Outta My System (feat. T-Pain & Johntá Austin),88,2007
Wonderland By Night (Wunderland bei Nacht),72,1961
Rockstar,56,2022
Lady - Remastered 2022,42,1979
Cryin',60,1993
Red Dirt Road,86,2003
The Lady In Red,21,1987
Everybody's Somebody's Fool,11,2005
Tusk - 2015 Remaster,94,1980
Dang Me,83,1996
"Oh, Babe What Would You Say",57,2020
My Baby Loves Lovin',62,2013
Shackles (Praise You),100,2000
Treat Her Like A Lady,15,1996
Let It Rock,32,2009
Under the Bridge,8,1992
Golden Earrings,35,1998
When I Need You - Remastered,24,1977
Your Body's Callin',64,1994
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),59,2021
The Shoop Shoop Song (It's In His Kiss),44,1993
Angel Eyes - Album Edit,70,1999
The Humpty Dance,62,1990
Express,59,1975
Bitch,15,1997
See You in September,15,1966
The Joker,40,1974
The Big Hurt,36,1960
Say It,74,2016
Along Came Jones - 2007 Remaster; Remastered,80,2007
Everything I Own,52,1972
The Rain The Park And Other Things,49,1967
Should I Do It,89,1982
The London (feat. J. Cole & Travis Scott),64,2019
Lovin' You,14,1975
I Ran (So Far Away) - Single Edit,67,2023
Music Box Dancer,49,1979
The Finer Things,76,2010
I Feel the Earth Move,3,1971
One Mint Julep,60,1961
Again,9,2001
Woman - Remastered 2010,21,1981
Don't Go Breaking My Heart (Karaoke in the style of Elton John & Kiki Dee),2,2009
"The Loveliest Night of the Year (From ""The Great Caruso"")",9,2013
Always in My Heart,96,1994
H.O.L.Y.,49,2016
Doo Wop (That Thing),41,1999
The Twist,17,2020
Hey Lover,20,1996
It Was Almost Like A Song,66,1977
Semi-Charmed Life,57,1998
I Love,83,1995
Stronger,27,2007
Devil Or Angel,59,1960
I Don't Dance,98,2014
1 Thing,67,2005
Youngblood,33,2019
Best of You,68,2005
On a Slow Boat to China,30,2000
Wedding Song (There Is Love),92,1971
Circles,2,2020
Mad,42,2009
Please Mr. Please,50,1975
The Search Is Over,48,1985
Make 'Em Say Ugh,40,1998
A Little Bird Told Me,8,1998
White Walls (feat. ScHoolboy Q & Hollis),92,2014
Mood (feat. iann dior),47,2021
"Sit Still, Look Pretty",78,2016
"I Wonder, I Wonder, I Wonder",19,1996
4 Seasons Of Loneliness,96,1998
Counting Stars,5,2014
Carrie,56,1987
Mad About You,36,1986
Rub You The Right Way,23,1990
In My Little Corner of the World,94,2014
Hotline Bling,30,2016
You Don't Know What You've Got (Until You Lose It),56,2020
Born Free,26,1966
Theme from The Rockford Files (feat. Larry Carlton),85,2005
Stutter (feat. Mystikal) - Double Take Remix,13,2001
Thank You,8,2001
Tears - Tommy Dee Remix,81,2010
I Saw the Light,88,1972
Misled,69,1999
Sweet And Innocent,32,1971
This Guy's In Love With You,7,1968
Treat You Better,28,2017
I Love You,20,1981
Personality,3,1959
Where Them Girls At (feat. Nicki Minaj & Flo Rida),88,2011
Runaway,5,1961
Words Get In the Way,47,1986
My Heart Has A Mind Of Its Own,17,2005
Superstition - Single Version,26,2002
Plain Jane REMIX (feat. Nicki Minaj),74,2018
Circles,62,2019
Days Go By,80,2002
Best Friend (feat. Doja Cat),29,2021
I Never Cry,82,1977
96 Tears,2,1966
With These Hands,28,2022
Inside Your Heaven (Bonus Track),71,2005
Tell It Like It Is,76,2000
"FourFiveSeconds - Tribute to Rihanna, Kanye West and Paul McCartney",42,2015
Little Woman,41,2012
My Boo - In the Style of Usher & Alicia Keys (Karaoke Version Teaching Vocal),24,2010
Where Do You Go,52,1997
No Letting Go,33,2003
Major Tom (Coming Home),96,1989
Naughty Girls (Need Love Too),28,1988
I'm Upset (Karaoke Version Originally performed by Drake),86,2018
Otherside,59,2000
Baby Workout,60,1963
"Bust It Baby, Pt. 2 (feat. Ne-Yo)",38,2008
Let's Do It Again,66,1976
100 Years,77,2004
Say Something (feat. Chris Stapleton),85,2018
(Keep Feeling) Fascination - Remastered,33,2005
Jet Airliner,62,1978
You Do,22,1949
Like A G6,37,2010
Sk8er Boi,96,2002
Make It with You,13,1970
Jingle Bell Rock,86,2022
Return of the Mack,8,1997
Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),70,1998
Suspicious Minds,18,1969
Industry Baby - Karaoke Version Originally Performed by Lil Nas X & Jack Harlow,24,2021
"Baby, It's Cold Outside",24,2000
I Will Always Love You,1,1993
Love Will Keep Us Together,1,1975
Watch Me (Whip / Nae Nae),88,2016
Let Her In,75,1978
Separate Ways (Worlds Apart),38,1983
White Flag,36,2004
It's Not Over,17,2007
Wind Beneath My Wings,7,1989
Patches,74,2016
Do That To Me One More Time,5,1980
Stand By Me - Single Version,82,1980
Hollaback Girl,2,2005
Holiday,79,1984
Flyin' Saucers Rock & Roll,30,1956
Green Tambourine,47,1968
Get the Party Started (Originally Performed by Pink) [Karaoke Version],24,2013
Love Her Madly,94,1971
Hot N Cold,25,2009
We Belong,39,1985
Go All The Way,33,1972
You Must Love Me,99,1997
Johnny Get Angry,56,1962
Last Train to Clarksville - Original Stereo Version; 2006 Remaster,4,1966
"I Can Dream, Can't I? - 1949 Single Version",19,1987
Bring Em Out,65,2005
Beyond the Sea,32,1960
Fame - 2016 Remaster,8,1975
Do You Believe In Love,51,1982
Two Princes,28,1993
Patience,71,1989
Bits and Pieces - 2019 - Remaster,45,1964
A Rose Is Still a Rose,95,1998
Changing Partners,24,1960
Time Has Come Today,87,1996
(Oh Baby Mine) I Get so Lonely,7,1954
Rock the Boat 4Love,43,2021
Party (feat. André 3000),77,2022
California Love - Original Version,17,1998
Cyclone (feat. T-Pain) - Main,71,2008
Popcorn,28,2005
Baby Scratch My Back - Single Version,86,2003
Bad Day,1,2006
I Have Nothing,30,1993
Wannabe,10,1997
Don't Give up on Us (Originally Performed by David Soul) [Karaoke Version],29,2015
The Most Beautiful Girl,23,1974
Everytime We Touch,31,2010
Silent Running,70,1986
I Know What You Did Last Summer (tribute to Shawn Mendes & Camila Cabello),86,2016
Something About The Way You Look Tonight - Edit Version,8,1998
With Or Without You,15,1987
Breakin'...There's No Stopping Us,80,1984
Maybe Your Baby,12,1972
I Get Around,56,1993
Moody River - Single Version,59,1993
Both (feat. Drake),83,2017
To Know Him is to Love Him,44,1978
My Hitta,58,2014
Blinding Lights,3,2021
Lose Yourself,63,2005
Baby Don't Go,72,1972
Light My Fire,52,2011
Two Out of Three Ain't Bad,30,1978
Heaven,31,2002
Jailhouse Rock,16,1997
A Fifth Of Beethoven,10,1977
Up on the Roof,64,1964
Sugar,5,2015
Hello It's Me,82,1974
Cherish - Single Version,17,2018
Gangsta Lovin',19,2002
Step By Step,83,1960
Wheel Of Fortune,2,1964
So Very Hard to Go,77,1973
Every Breath You Take,1,1983
Two Is Better Than One (feat. Taylor Swift),72,2010
Right Back Where We Started From,28,2020
It Will Rain,26,2012
Can't We Try,63,1987
Glad You Came,6,2012
Back To You - From 13 Reasons Why – Season 2 Soundtrack,41,2018
That's the Way of the World,60,1975
I'm Gonna Knock on Your Door,92,2010
Thunder Island,50,1978
Love Takes Time,69,1991
At Your Best (You Are Love),70,1994
Brokenhearted (feat. Wanya Morris) - Single Version,77,2005
Dizzy,6,2001
S&M,12,2011
Easy Lover,12,2012
Cruel Summer,66,1998
La Tortura (feat. Alejandro Sanz),60,2005
Good Days,52,2021
Red River Rock,31,1959
Party Rock Anthem,2,2011
Everything She Wants,25,1985
Here We Are,74,1990
What Would You Do?,22,2001
34+35,21,2021
Fall In Love,54,2022
In Your Room,66,1989
Sweeter Than You - Remastered / Alternate Version,83,1959
Allegheny Moon,24,1960
Lean On,16,2015
She Will Be Loved - Radio Mix,35,2004
She Works Hard For The Money,15,1983
I've Told Every Little Star (Originally Performed by Linda Scott) [Karaoke Version],74,2016
Escapade,15,1990
Lemon - Edit,83,2018
Pretty Wings - uncut,99,2009
Butta Love,94,1998
"You, You, You",28,1951
Whatcha Say,34,2010
Whip Appeal,83,1990
This Little Girl,58,2004
Feel Me Flow,73,1995
Waterfalls,2,1995
Shake It Off,18,2015
London Bridge,22,2006
Heaven Must Be Missing An Angel - Pt. 1,60,2004
Blue Moon - 45 Version,40,1961
"Tonight, Tonight, Tonight - 2007 Remaster",68,1987
Stand Up and Shout About Love,8,1980
Bleeding Love,2,2008
The End of the World,2,1994
Drunk in Love (feat. Jay-Z),35,2014
POPSTAR (feat. Drake),66,2020
What Do You Mean?,31,2023
A Big Hunk O' Love,30,2022
Rockstar,5,2022
Sunshine,13,2007
Home,46,2013
Closer,20,2008
R.O.C.K. In The U.S.A. (A Salute To 60's Rock),66,1986
Mandolin Rain,65,1987
Sugartime,27,1999
Diggin' On You,45,1996
Did You Ever Have to Make up Your Mind?,48,1966
Stuck on You,9,1963
Get a Job,14,1996
Always,91,1994
THATS WHAT I WANT,14,2022
Ballerina Girl,95,1987
"The Ballad of Davy Crockett (From ""Davy Crockett"")",6,2020
All Right,70,1983
Tootsee Roll (Dance Version),63,1995
The Way You Love Me,41,2000
Little Star,15,2005
Good Time,38,2021
Blue Velvet,5,1963
Chains,68,2015
It's Your Thing,21,1969
Dead Giveaway,86,1983
Cry Baby (feat. DaBaby),77,2021
Love Me Do - Remastered 2009,14,1964
Little Darlin',3,1996
Handy Man,46,1977
The Mighty Quinn,91,1994
Fooled Around And Fell In Love,56,1976
Love Yourself,1,2016
Cheap Thrills,11,2016
Sexy And I Know It,57,2011
Drive By,19,2012
Monster Mash,38,1973
Bless You,73,2021
Now That We Found Love,67,1991
Break Free,37,2014
Happy Together,8,1967
La La La,82,2014
Without You (feat. Usher),73,2011
Missing You,49,1985
Pillow Talk,22,1996
Hotline Bling,24,2016
Who I Am,82,2001
Ivory Tower,32,2011
Behind Closed Doors,52,1973
Shake,66,2003
Do It To It,56,2006
Dior,83,2020
We’re Good,90,2023
"Be My Love (From ""The Toast of New Orleans"")",5,2013
Don't Wanna Be a Player (In the Style of Joe) [Karaoke Version],84,2013
Heaven,15,1989
Tennessee Waltz,18,1960
Little Willy,18,2010
"Hold Me, Thrill Me, Kiss Me",14,1996
Because Of You,69,1999
The Sweetest Thing (I've Ever Known),21,1982
(Your Love Has Lifted Me) Higher And Higher,8,1977
All About That Bass,8,2015
positions,14,2021
Rico Suave,89,1991
A Groovy Kind of Love,29,2004
Too Many Rivers,79,2006
Wild Wild West (feat. Dru Hill & Kool Mo Dee) - Album Version With Intro,33,1999
Together Again,12,1997
Halo,24,2009
Scars,36,2005
Livin' It Up,76,2002
It's A Shame,76,1970
The Happy Organ,22,2020
It Isn't Fair,10,2011
"The Heat Is On - From ""Beverly Hills Cop"" Soundtrack",19,2018
Someone To Call My Lover,38,2001
Let It Rock,65,2008
Feel It Still,45,2017
Love Somebody,16,1948
Got Me Waiting,88,1994
Short Dick Man - Original,76,2011
I Guess That's Why They Call It The Blues,33,1984
Smooth (feat. Rob Thomas),2,2000
Sweet Dreams - Radio Version,37,1996
Never Ending Song of Love,67,1971
Uma Thurman,60,2015
Only,51,2015
Up Around The Bend,73,1970
Maybe It's Because,26,2008
Don't Be Cruel,79,1988
Hollywood Nights,99,1978
Soul Deep,98,1969
Love Is the Answer,68,1979
Union of the Snake - 2010 Remaster,43,1984
Together Forever,44,1988
Walk Away,45,2006
In The Dark,83,2012
Get Up and Boogie - That's Right,24,2010
You Got It (The Right Stuff),52,1989
(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,37,2006
Sunshine (Go Away Today),37,1972
Give It To Me,21,2007
Run Away,38,1995
"Bailamos - From ""Wild Wild West""",26,1999
The Yellow Rose of Texas - Single Version,3,1955
"Would I Love You, Love You, Love You",26,2017
I Still Haven't Found What I'm Looking For,23,1987
Better,20,2019
Sign Your Name (Karaoke in the style of Terence Trent d'Arby),58,2009
Kansas City,9,1959
The World Is Waiting For The Sunrise,19,1953
Reach Out Of The Darkness,49,1968
Go Now,50,2014
Strange Way,100,1979
A Swingin' Safari,83,1962
Bump n' Grind,11,1994
Stranger in Paradise,29,2008
Sylvia's Mother,64,1972
Owner of a Lonely Heart,8,1984
Love's Theme,3,1998
One More Night,18,2012
Touch Me,49,1969
"Shout, Pt. 1",58,2020
Seasons in the Sun,2,1974
No Diggity,23,1997
Show Me the Meaning of Being Lonely,31,2000
"Get Outta My Dreams, Get Into My Car",15,2010
Transfusion,47,1985
Atlantis,53,1969
I Apologize,25,1994
Clair,72,1973
Mo Bamba,49,2019
Disco Inferno,54,2009
You Make My Dreams (Come True),43,1981
The Other Side,66,2013
Mesmerize,25,2003
Carrie-Anne,64,1967
Centuries,43,2015
Empty Garden (Hey Hey Johnny) - Remastered 2003,76,1982
"Jesus, Take the Wheel",78,2006
Doggin' Around,95,1960
Bewitched,24,1950
I Like It,69,2023
Barely Breathing,18,1997
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",74,2017
Wanted (with Henri René & His Orchestra and Chorus),2,2010
Blue Eyes - Remastered 2003,62,1982
Breakdance - Radio Edit,69,1984
Ebony Eyes,96,1978
I Need You Now - 2001 Remastered,13,2001
You Remind Me of Something,83,1996
U Don't Know Me,79,2005
We'll Sing in the Sunshine (Originally Performed by Gale Garnett) [Karaoke Version],8,2016
I Love Music,52,1976
Don't Shed a Tear (In the Style of Paul Carrack) [Karaoke Version],83,2013
Sioux City Sue - 1946 Single Version / With 1954 Spoken Introduction,34,1954
Butterflies,64,2002
Hello Again,70,1981
Closer,10,2016
Allentown,43,1983
Crying In The Chapel,24,2006
What's Forever For?,93,1982
Blown Away,70,2012
Panini,71,2020
No Lie,54,2012
Too Fat To Fly,23,2011
Sunshine Of Your Love,6,1968
Little Jeannie,16,1980
You Belong To Me,4,2002
Every Little Thing I Do,45,1995
Dirty Laundry,48,1983
Na Na,53,2014
The Whiffenpoof Song,32,2008
"Twist, Twist Senora",88,1998
Small Town Boy,94,2017
I'll Be Missing You (feat. 112),3,2004
Love Letters In The Sand - Single Version,25,1993
Play It Again,64,2014
Since I Don't Have You (Alternative Take),65,1959
Papa Don't Preach,29,1986
Walk This Way,90,1977
My Last,100,2011
Rock And Roll Music - Remastered 2012,62,2012
changes,94,2018
From a Distance,15,1991
Count on Me,66,1978
Da Doo Ron Ron,45,1977
Don't Wanna Go Home (Originally Performed By Jason Derulo),87,2011
Lady,61,1975
Mysterious Ways,57,1992
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",31,2015
I Love The Way You Love,65,1960
Travelin' Man - Remastered,23,1961
1-800-273-8255,31,2017
C’est la vie,6,1998
Demons,62,2013
On the Way Down,73,2004
Incomplete,25,2000
Fire,39,2010
When a Man Loves a Woman,31,1966
Yummy,58,2023
Natural High - Single Version,39,2002
Smells Like Teen Spirit,32,1992
P.I.M.P.,21,2003
Sincerely,8,1999
Girls Night Out (with Doechii),69,2022
(Theme From) Valley of the Dolls,42,1968
Sowing The Seeds Of Love,58,1989
Blueberry Faygo,27,2020
Do You Want Me,98,1991
Turn My Swag On,79,2009
Last Friday Night (T.G.I.F.),14,2011
Stop! In The Name Of Love,20,1965
Breakaway,74,2004
Gangsta's Paradise,33,1996
Circles Around This Town,100,2022
Who Will Save Your Soul,25,1996
Lonely Weekends - Remastered 2022,99,1960
Sorry 2004,53,2004
Hold On Tight,81,1981
Our House,53,1983
Apologize,5,2008
Baby Hold On (2022 Remaster),67,1978
Legs - 2008 Remaster,60,1984
A Blossom Fell,20,1991
Cats In The Cradle,61,1993
Locked out of Heaven,11,2013
Misty - 1975 #3Country; #14Pop Billboard chart hit,91,1975
I Don't Want to Live Without You,86,1988
Shoop,29,1994
22 (Taylor's Version),71,2021
You Give Good Love,47,1985
I Love Rock 'N Roll,3,1982
Bounce With Me (feat. Xscape) - Edited Album Version,94,2000
Salt Shaker,49,2004
Psychedelic Shack,91,1970
The Great Pretender,12,1986
Wow.,5,2019
Naked Eye,81,1997
The Long And Winding Road - Remastered 2009,41,1970
Like The Way I Do,90,1995
There Goes My Baby,83,2010
Didn't We Almost Have It All (Originally Performed By Whitney Houston) - Karaoke Backing Track,22,2012
Little Diane,86,2005
Deeper and Deeper,66,1993
Breakin' My Heart (Pretty Brown Eyes),48,1992
Material Girl,58,2009
Golden Years - 2016 Remaster,33,1976
Sexy Can I,11,2008
Mandy,36,1975
Dreamin',89,1989
Marvin Gaye (feat. Meghan Trainor),75,2016
(I Love You) For Sentimental Reasons,34,1996
Get Here,80,1991
Doctor My Eyes,92,1972
Key Largo,17,2014
Like You'll Never See Me Again (Live From Allianz Parque Sao Paulo Brazil),47,2023
Cool Change - Remastered 2022,56,1980
Mirrors,6,2013
Working for the Weekend,96,1982
"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)",1,1989
Come Softly To Me,8,1993
Angel,72,1993
Lotta Love,41,1979
Runaway,29,1995
That Don't Impress Me Much,32,1999
Rush Rush,4,1991
Dandy,85,1966
I Kissed A Girl,14,2008
Don't Happen Twice - In the Style of Kenny Chesney (Karaoke Version Teaching Vocal),85,2010
Do You Really Want To Hurt Me,11,1983
Habits (Stay High),77,2015
Grenade,6,2011
"Go, Jimmy, Go",33,1998
Harlem Shake,4,2013
When I See You Smile,34,1989
California Gurls,4,2010
No More Lies,50,2020
Fall in Love with Me,100,1983
Don't Take the Girl (Originally Performed by Tim Mcgraw) [Karaoke Version],87,2013
Angel of the Morning,28,2004
Get Closer,16,1976
Spiders & Snakes,16,1974
Post to Be (feat. Chris Brown & Jhene Aiko),24,2015
Tell Me,84,2012
Lido Shuffle,74,1977
"Billy, Don't Be A Hero",21,1996
If You Love Somebody Set Them Free,55,1985
Austin,76,2001
No Not Much,20,1956
Don't Just Stand There,77,1965
Stickwitu,40,2006
All Night Long - Single Version,12,1992
Invisible Touch - 2007 Remaster,54,1986
Mouth,42,1997
No One Else (feat. Da Brat),87,1996
First Class,6,2022
My Love,5,2001
Morgen,94,2001
Go Getta,80,2007
Make Me Lose Control,38,1997
Indian Reservation (The Lament of the Cherokee Reservation Indian),6,1971
Teen Idle,77,2012
Party Up (Up In Here),71,2001
Yoü And I,71,2011
Hooked on a Feeling - Rerecorded,96,2009
Go Your Own Way - 2004 Remaster,94,1977
Gotta Get Thru This - D'N'D Radio Edit,61,2002
Make It Rain,43,2007
Hold on My Heart - 2007 Remaster,62,1992
Ticket To Ride - Remastered 2009,31,1965
This Magic Moment,56,2009
Viva La Vida,55,2009
Say It Right,9,2007
Bank Account,48,2017
Girl You Know It's True,8,2013
Give Me Just One Night (Una Noche),57,2000
Gives You Hell,10,2009
Walking On Sunshine,75,1985
Try Again,12,2001
Forever After All,18,2021
Tragedy,16,1979
Studio,96,2014
Can't Live Without Your Love And Affection (Karaoke Version - In The Style Of Nelson),27,2009
Take Me to Church,14,2015
Lips Are Movin,22,2015
Rockin' Around The Christmas Tree,92,2021
Don't Forget Me (When I'm Gone),34,2012
Chariot,96,2005
I Don't Want to Wait,10,1998
Only Human,78,2019
Election Day - 2010 Remaster,86,1986
The Sign,1,1994
Breakaway,27,2005
How Forever Feels,84,1999
everything i wanted,18,2020
Lookin' For A Love,67,1974
I Am...I Said - Single Version,91,1971
Unskinny Bop,32,1990
Loungin (Who Do Ya Luv) - Remix,21,1996
Goodnight Tonight,52,2001
Why Don't You & I (feat. Chad Kroeger),53,2003
Kiss Kiss (feat. T-Pain),19,2008
I'll Be There,7,2008
Rainy Days And Mondays,38,2012
Mask Off,14,2017
Biggest Part of Me,27,1980
What About Now,90,2000
Venus,4,2008
Call Me Maybe,2,2012
Back On the Chain Gang - Originally Performed By the Pretenders,26,2011
Chapel Of Love,21,2006
Down In the DM (feat. Nicki Minaj) - Remix,69,2016
What a Fool Believes,19,1979
Get It Together,48,1997
On And On,30,1977
Born to Be Alive - The Original,70,1979
Cowboys to Girls,32,1968
Laughing On The Outside (Crying On The Inside) - Remastered,24,1995
We Are The Champions - Remastered,25,2004
What's New Pussycat?,28,1966
Big Daddy,73,1997
Indian Giver - Remastered,67,1969
Somethin' 'Bout A Truck,96,2012
My Boo - Hitman's Club Mix,54,2005
California Girls,88,1985
Mr. Lee,47,2020
I'm So Into You,20,1993
Misunderstanding,71,1980
I Love Me Some Him,59,1997
From the Bottom of My Broken Heart,77,2000
Blurry,10,2002
I'm Telling You Now,42,2017
You Learn - 2015 Remaster,29,1996
Can't Feel My Face,72,2023
Mmm Mmm Mmm Mmm,35,1994
I Want You to Want Me,34,1979
Chasin' You,34,2020
This Diamond Ring,17,1965
Paradise City,86,1989
Save Your Tears - Karaoke Version originally performed by The Weeknd & Ariana Grande,2,2021
Damaged,42,2008
Shake It Off,15,2005
Get over Yourself (Originally Performed by Eden's Crush) [Karaoke Version],92,2013
Ataypura!,8,1951
Let It Be Me,30,1991
The Old Lamplighter,58,2013
Thoia Thoing,61,2003
Kiss Me More (feat. SZA),90,2022
For Your Eyes Only,92,1981
Misery,62,2010
"Young, Wild & Free (feat. Bruno Mars)",32,2012
Word Up,68,1986
The Ballad Of Davy Crockett,24,2020
You Sexy Thing,22,1976
Smooth (feat. Rob Thomas),19,1999
My Front Porch Looking In,68,2003
Take The Long Way Home - 2010 Remastered,86,1980
One Fine Day,87,2004
Oh Julie,47,2018
Hot Blooded,36,1978
Upside Down,18,1980
I Like It Like That,34,1987
Lean on Me - Remastered,29,1987
Oh My My,74,1974
Waiting for a Girl like You,19,1982
Promises,82,1979
He Wasn't Man Enough,10,2000
Doin' What Comes Natur'lly,28,2014
Cherry Pie,79,2004
Tattoo,30,2008
Runaway,35,2018
I’ve Gotta Get A Message To You,59,2010
These Dreams,33,1986
Hurts So Good,8,1982
The Greatest Love Of All,11,2022
Fancy Like,27,2022
The Night They Drove Old Dixie Down,20,1971
Holding Back the Years - 2008 Remaster,22,1986
Wagon Wheel,54,2013
Candle In The Wind - Remastered 2014,71,1988
Bye Bye Bye,21,2000
"Take Me There - From ""The Rugrats Movie"" Soundtrack",91,2011
St. Louis Blues March,29,2010
Give Up The Funk (Tear The Roof Off The Sucker),93,1976
Jeopardy,21,1983
Cry Like a Baby,16,1968
School Is Out,54,1998
Because the Night,72,1978
There's No Tomorrow,14,2001
Poison Ivy - 2007 Remaster; Remastered,54,2007
If I Had a Hammer - 2004 Remaster,98,2005
Because of You,72,2005
Have I Told You Lately - 2008 Remaster,32,1993
I Took A Pill In Ibiza - Seeb Remix,15,2016
Sing,56,2014
You Talk Too Much,89,2012
Glimpse of Us,52,2022
Puttin' on the Ritz,31,1983
All Through the Night,65,1985
Precious and Few,30,1972
She's Like the Wind (feat. Wendy Fraser),40,1988
Kung Fu Fighting,15,2001
Baby,37,1995
Something in the Orange,39,2022
Players,79,2022
Black Water,16,1975
International Love (feat. Chris Brown),48,2012
I'll Be There,65,2020
Time Is Tight,63,1993
Summer,33,2014
Kyrie - Single Version,9,2001
The Green Door,19,2018
Royals,15,2013
All The Small Things,40,2000
Grown Men Don't Cry,78,2001
Gold,51,1995
Earned It (Fifty Shades Of Grey),9,2015
