Song,Hot100 Rank,Hot100 Ranking Year
Hard to Get,26,2022
Lost in Your Eyes,13,1989
On My Mind,81,2016
Hawaii Five-O,58,1969
I Don't Want to Talk About It - 2008 Remaster,50,1989
(Just Like) Starting Over - Remastered 2010,4,1981
Headlines,85,2011
Don't Cry Out Loud,26,1979
Time,48,1981
Lisbon Antigua,3,1963
All About That Bass,28,2015
Can You Feel The Love Tonight,18,1995
Absolutely (Story of a Girl) - Radio Mix,35,2000
Feels So Good,21,1978
Everytime You Go Away,11,2002
It's Goin' Down (feat. Nitti),18,2006
I'm Different (In the Style of 2 Chainz) [Karaoke Intrumental Version],99,2013
Because They're Young,37,2006
Ballad Of The Green Berets,10,1972
Desire,58,2018
good 4 u,31,2022
It's Not Unusual,64,1965
Shake It Off,13,2014
Patches,35,1970
I Want to Be Your Man - Remastered Version,59,1988
Rock On,17,1974
As It Was,2,2022
Lil' Red Riding Hood,16,1972
U & Ur Hand (In The Style Of Pink),29,2011
Marry Me,76,2018
When I'm Gone,90,2006
Bottoms Up (feat. Nicki Minaj),64,2011
Funny How Time Slips Away,70,1996
Mr. Big Stuff,18,1971
6 Foot 7 Foot,41,2011
Blue Bayou,61,1978
Elenore,80,1968
Tennessee Waltz,10,1960
Here's to the Night,90,2001
Hooked On Classics (Parts 1 & 2),56,1983
You Right,43,2021
Barbie Girl,94,1997
Easy,33,1977
We Got A Love Thang,97,1992
Old Cape Cod,46,1960
Miss Me Blind - Remastered 2003,63,1984
Me Too,62,2017
So Good,80,2012
Redneck Woman,97,2004
Too Close,1,1998
"Don't Let The Sun Go Down On Me - Live From Madison Square Garden, USA/1974",78,1976
Daydreamin',55,1998
Sealed with a Kiss,87,1972
One Woman,98,1993
I Can't Get Next To You,3,1969
Higher Love,20,1986
"Open The Door, Richard",33,2003
Touch Me (I Want Your Body),44,1987
Sending All My Love,31,2005
Call Me,1,2004
Chances Are (with Ray Conniff & His Orchestra),39,1958
If You,61,1999
The Way You Do The Things You Do,71,1964
Sunny,14,1966
Girl On TV,93,2000
Get Up (feat. Chamillionaire),80,2006
Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,19,1961
"Never Again, Again",87,2000
Shut Up and Dance,6,2015
Sentimental Lady,78,1978
Paris,42,2017
Vehicle,85,1970
Money Honey,92,2004
Love Is in Control (Finger on the Trigger),59,1982
The Boy Is Mine - Radio Edit,2,2018
Fly Robin Fly,14,2010
Show Me (feat. Chris Brown),43,2014
Po Pimp,91,1996
Dear Hearts And Gentle People,29,1997
Gimme That,69,2006
Stay,45,1992
"Gee Whiz, Look at His Eyes",62,1961
The Cisco Kid,55,1976
Don’t Wanna Fall in Love,29,2023
Brown Eyed Girl,35,1967
Total Eclipse Of The Heart - Dance Mix,19,2010
Hit Me Off,86,1996
This Girl Is a Woman Now,84,1969
Dead And Gone,12,2009
Still into You,100,2013
Peggy Sue,50,1958
Rock Wit U (Awww Baby),81,2003
When You're Gone,95,2002
What About Your Friends,88,1992
Through The Wire,61,2004
This Lil' Game We Play,68,2013
How Sweet It Is (To Be Loved By You) - 2019 Remaster,69,1975
Fox On The Run,76,1993
Saving All My Love for You,23,1985
Too Late For Goodbyes,77,1985
I'll Be,54,1997
Nothing From Nothing,37,1974
Trying,29,1955
Mockingbird,19,2011
U Got It Bad,9,2002
Natural,69,2018
Summer Nights - From “Grease”,69,2023
"Somewhere Out There - From ""An American Tail"" Soundtrack",39,1987
As Good As I Once Was,84,2005
Anytime - Remastered,12,2001
Frozen,32,2021
I Want Crazy - Encore,72,2013
50 Ways to Say Goodbye,81,2012
Unwell,6,2003
If Today Was Your Last Day,70,2009
Steppin' Out,82,1983
All I Want,53,1992
Night Moves,55,1977
Hate Me,82,2006
Dance Ballerina Dance,13,1949
Roses,56,2004
The Sweetest Days,75,1995
She's so High,51,1999
My Way (feat. Monty),44,2015
Hold Your Head Up,50,1972
Dynamite,41,2021
ABC,15,1970
Just Kickin' It,69,1994
O,91,2005
All Time Low,75,2017
(You’re My) Soul & Inspiration,12,2008
Something Just Like This,5,2017
deja vu,13,2021
Let's Wait Awhile,48,1987
Drift Away - Single Version,17,2001
Gloria,75,1995
No Other Love (with Henri René & His Orchestra and Chorus),8,1999
Total Eclipse of the Heart,6,2009
Thank The Lord For The Night Time,100,1968
What Have I Done to Deserve This? (with Dusty Springfield) - 2018 Remaster,50,1988
Counting Stars,63,2014
Auf Wiederseh'n Sweetheart - 2017 Version,5,2017
Blame It on the Rain,46,2011
Girlfight - radio edit feat. Big Boi & Lil Jon,85,2005
(I Love You) For Sentimental Reasons,21,1954
Just My Imagination (Running Away With Me),9,1971
All She Wants To Do Is Dance,97,1985
We Don't Have To Take Our Clothes Off,60,2011
After The Lovin',61,2005
Fire and Rain - 2019 Remaster,67,1970
Second Chance,26,2009
Stereo Hearts (feat. Adam Levine),36,2011
You’ve Lost That Lovin Feelin’,5,2008
G.H.E.T.T.O.U.T.,31,1997
It Ain't Me Babe (Stereo),73,1965
Heaven,91,1998
Singing the Blues,40,1956
The Fly - 2016 Re-Recorded Version,70,2016
The Little Shoemaker,15,1996
Don’t Let Go (Love),7,2023
Soul Finger,67,1992
Because of You,2,2006
Shower Me With Your Love,75,1989
Ain't No Mountain High Enough (Originally Performed By Marvin Gaye & Tammi Terrell) [Karaoke Backing Track],87,2013
Good Girl,66,2012
Flower Shops (feat. Morgan Wallen),96,2022
Pink Shoe Laces,15,2013
I’ll Never Find Another You,23,2019
Take A Bow,12,2008
Love You Inside Out,33,1979
Would I Lie to You? - Remastered Version,70,1985
Ass Back Home (feat. Neon Hitch),51,2012
Sign of the Times,87,2017
Poetry In Motion - 1960 #2 Billboard chart hit,87,1962
Diamonds and Pearls,25,1992
In A Minute,43,2022
Missing You,11,1984
The Great Escape,77,2007
You Got Lucky,97,1983
No Air (feat. Chris Brown),6,2013
Hold Me Now,23,1984
Because Of You,30,1960
I Like That,52,2004
What a Girl Wants,19,2000
Uh Huh,90,2002
Lovesong - 2010 Remaster,68,1989
('Till) I Kissed You,20,1959
Said Sum,98,2020
Up,26,2021
I Take It Back,88,2009
Daydream,38,1966
Love Me,39,2013
I’m a Mess (with YUNGBLUD),18,2022
Blue Ridge Mountains,86,2008
Coming Home,38,2011
Nice & Slow - Radio Version,9,1998
The Happiest Girl In The Whole U.S.A.,55,1986
Moonglow and Theme from Picnic,11,1991
